component_idx,selection_frequency,mean_abs_coef
4,1.0,0.1776935092123639
17,1.0,0.14722570181457628
8,0.96,0.15850107548784845
2,0.96,0.1221616980274022
20,0.92,0.12374372083946632
1,0.84,0.11002676233604665
23,0.76,0.10624599540368385
18,0.6,0.1006285563134996
31,0.48,0.0958182643572992
37,0.32,0.08227037169376922
14,0.28,0.07662206407939372
16,0.28,0.07186816455434024
36,0.24,0.08642652075518807
27,0.2,0.08236422305956728
12,0.16,0.07360240953223433
5,0.16,0.07080042325735081
34,0.12,0.06906758301929145
13,0.08,0.06558126773309898
28,0.08,0.06159746340631442
6,0.08,0.060808857945914445
22,0.08,0.060351745822459384
39,0.08,0.058012248959633285
11,0.08,0.050342603202207
15,0.08,0.04395909871325368
26,0.04,0.0609560994499382
3,0.04,0.04183110807929109
33,0.04,0.04154337160548689
35,0.04,0.036878313910230526
7,0.0,0.05456000590441211
24,0.0,0.050690255596806545
9,0.0,0.04516144438718934
38,0.0,0.0446089439183962
21,0.0,0.03955199331424766
19,0.0,0.03922345039598505
29,0.0,0.03787993966380697
32,0.0,0.03739994787152232
25,0.0,0.03621246486218
30,0.0,0.03370154168962759
0,0.0,0.02342919140872295
10,0.0,0.02038414093124187
