Class_ID,Class_Name,N_Trials,N_Neurons,Effective_Dim_PR,Effective_Dim_eRank,Effective_Dim_90Var
1,Divergent,45,235,8.052957648765991,15.079270808134748,18.0
2,Convergent,45,235,11.835508903711856,19.635737925772776,21.0
3,Random,45,235,9.657869856234958,17.24990542717008,20.0
