Class_ID,n_nodes,n_edges,density,mean_degree,largest_component,avg_clustering,global_efficiency,local_efficiency,transitivity,efficiency,modularity,betweenness_mean
1,235,1374,0.049972722313147845,11.693617021276596,168,0.5526875589286193,0.22876219918775997,0.6451579669167364,0.4742630442424547,0.22876219918775997,0.33510437126167186,0.003582391492171421
2,235,1374,0.049972722313147845,11.693617021276596,177,0.5617765386728647,0.24433394816377182,0.6563659805809069,0.45766490697555223,0.24433394816377182,0.3219668558740086,0.004247514374443422
3,235,1374,0.049972722313147845,11.693617021276596,161,0.5105240752102472,0.20508245366402747,0.5940184108333377,0.5010017591868647,0.20508245366402747,0.3410740429985868,0.003733804117330736
