level_type,level,observed_count,expected_count,observed_prop,expected_prop,enrichment_ratio,log2_enrichment,p_over,p_under,p_two_sided,n_important_edges,n_total_edges,p_fdr_bh
decile,D1,115,275.0500090925623,0.04181818181818182,0.1000181851245681,0.41810578511978663,-1.2580600894859144,1.0,1.508832853388193e-32,3.017665706776386e-32,2750,27495,1.508832853388193e-31
decile,D2,169,274.9499909074377,0.061454545454545456,0.0999818148754319,0.6146572307223817,-0.7021459923727029,0.9999999999999815,3.347148054437332e-14,6.694296108874664e-14,2750,27495,2.2314320362915548e-13
decile,D3,207,275.0500090925623,0.07527272727272727,0.1000181851245681,0.7525904132156159,-0.4100631829462972,0.999999009650293,1.4125907708938269e-06,2.8251815417876537e-06,2750,27495,7.062953854469134e-06
decile,D4,243,274.9499909074377,0.08836363636363637,0.0999818148754319,0.88379708322804,-0.17821292505625502,0.9861942833986278,0.016440399865152874,0.03288079973030575,2750,27495,0.04697257104329393
decile,D5,227,275.0500090925623,0.08254545454545455,0.1000181851245681,0.8253044628016658,-0.2770016531563961,0.9995618501842992,0.0005629664610756485,0.001125932922151297,2750,27495,0.0018765548702521617
decile,D6,274,274.9499909074377,0.09963636363636363,0.0999818148754319,0.9965448592777075,-0.004993345703356544,0.5358837245056616,0.4908229050502791,0.9816458101005582,2750,27495,0.9816458101005582
decile,D7,274,275.0500090925623,0.09963636363636363,0.1000181851245681,0.9961824793288829,-0.005518057489782347,0.5385434340597057,0.4881507311724613,0.9763014623449227,2750,27495,0.9816458101005582
decile,D8,299,274.9499909074377,0.10872727272727273,0.0999818148754319,1.0874704851242136,0.12097624553301116,0.05845116357463882,0.9488131516100986,0.11690232714927765,2750,27495,0.14612790893659705
decile,D9,336,275.0500090925623,0.12218181818181818,0.1000181851245681,1.2215960330456375,0.28876728232577936,3.909157638960947e-05,0.99997008569264,7.818315277921894e-05,2750,27495,0.00015636630555843789
decile,D10,606,274.9499909074377,0.22036363636363637,0.0999818148754319,2.2040371705193094,1.1401485548011348,1.138008809975852e-87,1.0,2.276017619951704e-87,2750,27495,2.276017619951704e-86
regime,WeakTail_D1D2,284,550.0,0.10327272727272727,0.2,0.5163636363610544,-0.9535406889005836,1.0,1.2767815465953133e-46,2.5535630931906265e-46,2750,27495,
regime,StrongTail_D9D10,942,550.0,0.34254545454545454,0.2,1.7127272727187088,0.7762954411977593,6.856059963397135e-77,1.0,1.371211992679427e-76,2750,27495,
