strength_decile,n_edges,importance_sum,importance_mean,corr_mean
1,2750,0.08369939261220988,3.043614276807632e-05,0.07521696146668544
2,2749,0.08945955594393964,3.254258128189874e-05,0.11968295055809638
3,2750,0.09383132109378557,3.412048039774021e-05,0.1450829364283867
4,2749,0.09727420987160652,3.538530733779793e-05,0.16702543796820776
5,2750,0.09717115753940697,3.533496637796617e-05,0.18745959393412928
6,2749,0.10099450030806367,3.673863234196569e-05,0.20819589694413385
7,2750,0.10090490910662918,3.669269422059243e-05,0.23095965335631397
8,2749,0.10419270532891864,3.79020390428951e-05,0.2566828527913439
9,2750,0.10583992311472698,3.848724476899163e-05,0.2908725144042612
10,2749,0.12663232508069358,4.6064869072642266e-05,0.39311592758312597
