component_idx,base_accuracy_mean,base_accuracy_std,ablation_accuracy_mean,ablation_accuracy_std,delta_vs_base,selection_frequency,mean_abs_coef
4,0.7703703703703705,0.06789001029564207,0.637037037037037,0.06789001029564211,0.13333333333333353,1.0,0.1776935092123639
2,0.7703703703703705,0.06789001029564207,0.7037037037037037,0.04625924443258073,0.06666666666666676,0.96,0.1221616980274022
17,0.7703703703703705,0.06789001029564207,0.7185185185185184,0.13021033949071814,0.05185185185185204,1.0,0.14722570181457628
20,0.7703703703703705,0.06789001029564207,0.7333333333333333,0.06666666666666671,0.0370370370370372,0.92,0.12374372083946632
8,0.7703703703703705,0.06789001029564207,0.7333333333333334,0.022222222222222202,0.03703703703703709,0.96,0.15850107548784845
1,0.7703703703703705,0.06789001029564207,0.7333333333333334,0.05879447357921315,0.03703703703703709,0.84,0.11002676233604665
31,0.7703703703703705,0.06789001029564207,0.7555555555555555,0.04444444444444445,0.014814814814814947,0.48,0.0958182643572992
18,0.7703703703703705,0.06789001029564207,0.7703703703703703,0.11184939904104814,2.220446049250313e-16,0.6,0.1006285563134996
23,0.7703703703703705,0.06789001029564207,0.7777777777777777,0.04444444444444445,-0.007407407407407196,0.76,0.10624599540368385
37,0.7703703703703705,0.06789001029564207,0.7925925925925926,0.06789001029564211,-0.022222222222222143,0.32,0.08227037169376922
