repeat_idx,accuracy_mean
0,0.34074074074074073
1,0.3185185185185185
2,0.31851851851851853
3,0.3111111111111111
4,0.35555555555555557
5,0.3407407407407408
6,0.2962962962962963
7,0.38518518518518513
8,0.3925925925925926
9,0.36296296296296293
10,0.30370370370370364
11,0.2888888888888889
12,0.37777777777777777
13,0.34074074074074073
14,0.3185185185185185
15,0.36296296296296293
16,0.3037037037037037
17,0.3703703703703704
18,0.24444444444444444
19,0.34814814814814815
20,0.3259259259259259
21,0.34074074074074073
22,0.34814814814814815
23,0.3925925925925926
24,0.2962962962962963
25,0.2888888888888889
26,0.3703703703703704
27,0.34074074074074073
28,0.3333333333333333
29,0.28148148148148144
