Class_ID,Class_Name,N_Trials,N_Neurons,Effective_Dim_PR,Effective_Dim_eRank,Effective_Dim_90Var
1,Divergent,43,711,16.35797393434191,24.21032974072155,24.0
2,Convergent,43,711,15.33777428101578,24.00050528489057,25.0
3,Random,43,711,13.614003759964246,21.661179348601756,23.0
