level_type,level,observed_count,expected_count,observed_prop,expected_prop,enrichment_ratio,log2_enrichment,p_over,p_under,p_two_sided,n_important_edges,n_total_edges,p_fdr_bh
decile,D1,577,2524.1500009904717,0.02285963313656353,0.10000198094332521,0.22859180308928406,-2.1291544229186736,1.0,0.0,0.0,25241,252405,0.0
decile,D2,815,2524.049999009528,0.032288736579374824,0.09999801905667478,0.3228937621329478,-1.6308685245219083,1.0,0.0,0.0,25241,252405,0.0
decile,D3,1100,2524.1500009904717,0.0435798898617329,0.10000198094332521,0.43579026585478764,-1.1982941231821407,1.0,2.8635568355215245e-264,5.727113671043049e-264,25241,252405,1.1454227342086098e-263
decile,D4,1439,2524.049999009528,0.05701041955548512,0.09999801905667478,0.5701154892138797,-0.8106738969194253,1.0,7.780685976262901e-146,1.5561371952525803e-145,25241,252405,2.593561992087634e-145
decile,D5,1952,2524.1500009904717,0.07733449546372964,0.10000198094332521,0.7733296354077686,-0.37084459404572573,1.0,2.754454925163769e-39,5.508909850327538e-39,25241,252405,6.886137312909423e-39
decile,D6,2346,2524.049999009528,0.09294401965056852,0.09999801905667478,0.9294586085446571,-0.10553747564099825,0.9999661783392372,3.7181099668760585e-05,7.436219933752117e-05,25241,252405,7.436219933752117e-05
decile,D7,2884,2524.1500009904717,0.11425854760112515,0.10000198094332521,1.1425628424774614,0.19227351762618172,2.8733764946075023e-15,0.9999999999999986,5.7467529892150045e-15,25241,252405,6.3852810991277834e-15
decile,D8,3378,2524.049999009528,0.13382987995721246,0.09999801905667478,1.3383253110246598,0.4204288391271368,7.109920399997848e-74,1.0,1.4219840799995696e-73,25241,252405,2.0314058285708136e-73
decile,D9,4328,2524.1500009904717,0.1714670575650727,0.10000198094332521,1.71463660965411,0.7779028522079617,4.922986900859565e-300,1.0,9.84597380171913e-300,25241,252405,2.4614934504297825e-299
decile,D10,6422,2524.049999009528,0.25442732062913515,0.09999801905667478,2.54432360787459,1.347282176046411,0.0,1.0,0.0,25241,252405,0.0
regime,WeakTail_D1D2,1392,5048.2,0.05514836971593835,0.2,0.275741848578313,-1.858609857057113,1.0,0.0,0.0,25241,252405,
regime,StrongTail_D9D10,10750,5048.2,0.42589437819420783,0.2,2.129471890960392,1.0904956864355708,0.0,1.0,0.0,25241,252405,
