component_idx,base_accuracy_mean,base_accuracy_std,ablation_accuracy_mean,ablation_accuracy_std,delta_vs_base,selection_frequency,mean_abs_coef
2,0.9379844961240309,0.0537070017850815,0.6356589147286821,0.058525848335432167,0.3023255813953488,1.0,0.06569933226153953
1,0.9379844961240309,0.0537070017850815,0.7519379844961241,0.09398725312389257,0.18604651162790675,1.0,0.0438118293887159
5,0.9379844961240309,0.0537070017850815,0.8759689922480621,0.03552384259655685,0.06201550387596877,1.0,0.0404148929011878
9,0.9379844961240309,0.0537070017850815,0.8759689922480621,0.03552384259655685,0.06201550387596877,1.0,0.02740790889588057
18,0.9379844961240309,0.0537070017850815,0.8992248062015503,0.0355238425965569,0.03875968992248058,0.92,0.024728611204909837
8,0.9379844961240309,0.0537070017850815,0.9069767441860465,0.04028025133881111,0.03100775193798444,0.84,0.02330422421199212
12,0.9379844961240309,0.0537070017850815,0.9224806201550387,0.04841083719688679,0.015503875968992165,0.4,0.019007515085653185
3,0.9379844961240309,0.0537070017850815,0.9302325581395349,0.023255813953488413,0.007751937984496027,0.92,0.022376768884061937
26,0.9379844961240309,0.0537070017850815,0.9302325581395349,0.046511627906976716,0.007751937984496027,0.88,0.025519368334634772
14,0.9379844961240309,0.0537070017850815,0.9302325581395349,0.06976744186046513,0.007751937984496027,0.36,0.017423585433191592
