component_idx,selection_frequency,mean_abs_coef
2,1.0,0.06569933226153953
1,1.0,0.0438118293887159
5,1.0,0.0404148929011878
9,1.0,0.02740790889588057
18,0.92,0.024728611204909837
3,0.92,0.022376768884061937
26,0.88,0.025519368334634772
8,0.84,0.02330422421199212
12,0.4,0.019007515085653185
14,0.36,0.017423585433191592
7,0.2,0.01542280544329555
16,0.16,0.015002347038294485
38,0.16,0.013737244572487563
25,0.16,0.012261024698805413
19,0.12,0.0134967801018478
15,0.08,0.014300340630445512
34,0.08,0.013852268723635099
11,0.08,0.013104149904333045
4,0.08,0.012875169191879017
30,0.08,0.01203188214118773
21,0.08,0.01145676618171905
31,0.08,0.011427984157334328
22,0.04,0.010769736585526525
17,0.04,0.010755845533353368
32,0.04,0.01033299520028618
27,0.04,0.009743756695558192
28,0.04,0.009503173865027992
6,0.04,0.009378809599436018
24,0.04,0.008679863531260091
35,0.04,0.008244314306691635
13,0.0,0.012928253264749666
39,0.0,0.012614600250661006
36,0.0,0.009781108975053902
0,0.0,0.009446191462634451
23,0.0,0.00936897087690301
20,0.0,0.008976251177433088
29,0.0,0.008878803040163369
33,0.0,0.007828464281119978
10,0.0,0.00674858481882031
37,0.0,0.006178682172685443
