Trial_Index,Class_ID,Class_Name,Gini,Participation_Ratio,Participation_Ratio_Norm
0,1,Divergent,0.6359150721200693,80.50175740647543,0.11322328749152663
1,1,Divergent,0.6677496002746774,57.0455389623282,0.08023282554476541
2,1,Divergent,0.6547292171132764,56.164496979392524,0.07899366663768287
3,1,Divergent,0.5362328884622776,112.57790911380232,0.15833742491392733
4,1,Divergent,0.5311766407972474,46.47389399046843,0.06536412656887262
5,1,Divergent,0.6166372643411513,64.67599488870914,0.09096483106710146
6,1,Divergent,0.5533778224189931,39.52286949780276,0.05558772081266211
7,1,Divergent,0.9329286862126602,7.495704159485722,0.010542481236970073
8,1,Divergent,0.5577135915577272,107.49047995695264,0.15118210964409654
9,1,Divergent,0.6153398087682109,41.74720055628497,0.05871617518464835
10,1,Divergent,0.7001465290137798,58.75158225265433,0.08263232384339568
11,1,Divergent,0.6149280647763578,78.25596881675223,0.11006465375070637
12,1,Divergent,0.7289670185520742,49.09676976276708,0.06905312202920827
13,1,Divergent,0.5945884317773977,122.22630215019709,0.17190759796089605
14,1,Divergent,0.5823284446534407,42.84963485137422,0.06026671568407063
15,1,Divergent,0.930885653001502,9.029494117839082,0.01269971043296636
16,1,Divergent,0.7168214670091755,47.38154526388416,0.06664071063837435
17,1,Divergent,0.6211528044539845,84.21130100732026,0.1184406483928555
18,1,Divergent,0.7186581396922469,62.65128867081318,0.0881171429969243
19,1,Divergent,0.5854610436927927,71.06984409559612,0.09995758663234336
20,1,Divergent,0.6908199674250961,69.08400831736714,0.09716456866015068
21,1,Divergent,0.6800408029788914,39.73937496166725,0.05589222920065717
22,1,Divergent,0.675025248024218,69.44300344830253,0.09766948445612171
23,1,Divergent,0.6761237590967524,65.20404470373413,0.09170751716418302
24,1,Divergent,0.7104452392091887,62.26690623619673,0.0875765207260151
25,1,Divergent,0.708082828071279,29.625565691152122,0.04166746229416614
26,1,Divergent,0.7221969292268431,56.68821695651086,0.07973026294867912
27,1,Divergent,0.6424570360510933,62.55450256382739,0.08798101626417354
28,1,Divergent,0.5779628408521007,62.848173948433484,0.08839405618626368
29,1,Divergent,0.5306955525709032,53.58746880181526,0.07536915443293286
30,1,Divergent,0.6099859610302569,57.023127114191496,0.08020130395807525
31,1,Divergent,0.6762721550957429,45.08556055073624,0.06341147756784281
32,1,Divergent,0.5818325674486242,83.49621329595114,0.11743489915042354
33,1,Divergent,0.5515262999534889,86.63649673691904,0.12185161285080034
34,1,Divergent,0.6128439842097733,77.63631888604782,0.10919313486082675
35,1,Divergent,0.6777623870136238,53.33303445675757,0.07501130022047478
36,1,Divergent,0.5645512602968679,85.83587081621836,0.120725556703542
37,1,Divergent,0.5093397990812918,120.81088032897361,0.16991684997042703
38,1,Divergent,0.6352437197286283,51.64476874071536,0.07263680554249699
39,1,Divergent,0.7118917576323807,62.2678666761162,0.08757787155571899
40,1,Divergent,0.60348776002572,63.73919017194262,0.08964724356110072
41,1,Divergent,0.5874039050189055,102.29015340445663,0.14386800760120483
42,1,Divergent,0.7048754062525897,80.46551487654511,0.11317231346912111
43,2,Convergent,0.6995063541630793,53.57064324351354,0.07534548979397122
44,2,Convergent,0.6584751491100036,39.78108971659886,0.05595089974205185
45,2,Convergent,0.6165371805988495,64.77258740603462,0.09110068552184897
46,2,Convergent,0.5743635634441213,93.90916297434198,0.1320803979948551
47,2,Convergent,0.5397069960804846,65.52171762720508,0.09215431452490165
48,2,Convergent,0.6423621551590399,54.96304245954812,0.07730385718642492
49,2,Convergent,0.5952949800979606,65.7574650224569,0.09248588610753432
50,2,Convergent,0.6624164813881896,35.45579492956573,0.04986750341711073
51,2,Convergent,0.6489154608293439,75.00020541102326,0.10548552097190332
52,2,Convergent,0.601838778204397,94.49020739028896,0.13289761939562442
53,2,Convergent,0.7132213116763031,51.62173834513437,0.07260441398753076
54,2,Convergent,0.5612897165538546,59.46969802509161,0.08364233196215416
55,2,Convergent,0.7345036682484591,13.24653589111501,0.018630852167531662
56,2,Convergent,0.6430809857435231,48.664396407484446,0.06844500197958431
