Neuron_ID,Class_1,Class_2,Class_3,Membership_Pattern,Membership_Count
0,1,0,0,1,1
1,1,0,0,1,1
2,1,0,0,1,1
3,1,0,0,1,1
4,1,0,0,1,1
5,1,0,0,1,1
6,0,1,1,"2,3",2
7,0,1,1,"2,3",2
8,0,1,1,"2,3",2
9,0,1,0,2,1
10,0,1,0,2,1
11,0,0,1,3,1
12,0,1,0,2,1
13,0,1,0,2,1
14,0,1,0,2,1
15,0,1,0,2,1
16,1,1,0,"1,2",2
17,1,1,1,"1,2,3",3
18,1,1,1,"1,2,3",3
19,1,1,0,"1,2",2
20,1,1,1,"1,2,3",3
21,0,1,1,"2,3",2
22,0,1,0,2,1
23,0,1,0,2,1
24,1,0,0,1,1
25,1,1,1,"1,2,3",3
26,1,0,0,1,1
27,0,0,1,3,1
28,1,1,1,"1,2,3",3
29,0,0,1,3,1
30,0,1,1,"2,3",2
31,1,0,0,1,1
32,1,1,1,"1,2,3",3
33,1,0,0,1,1
34,1,1,1,"1,2,3",3
35,1,1,1,"1,2,3",3
36,1,1,1,"1,2,3",3
37,1,1,1,"1,2,3",3
38,1,0,0,1,1
39,1,0,0,1,1
40,1,0,0,1,1
41,1,0,1,"1,3",2
42,1,1,1,"1,2,3",3
43,1,1,1,"1,2,3",3
44,1,1,1,"1,2,3",3
45,1,0,0,1,1
46,0,1,0,2,1
47,1,0,0,1,1
48,1,0,0,1,1
49,1,0,0,1,1
50,1,0,0,1,1
51,1,0,1,"1,3",2
52,1,0,0,1,1
53,1,0,1,"1,3",2
54,1,0,0,1,1
55,1,0,1,"1,3",2
56,1,0,0,1,1
57,1,0,0,1,1
58,1,0,0,1,1
59,0,1,0,2,1
60,1,0,0,1,1
61,1,1,1,"1,2,3",3
62,1,1,1,"1,2,3",3
63,1,0,0,1,1
64,0,0,1,3,1
65,1,1,1,"1,2,3",3
66,1,1,1,"1,2,3",3
67,1,1,1,"1,2,3",3
68,1,1,1,"1,2,3",3
69,0,0,1,3,1
70,0,0,1,3,1
71,1,1,1,"1,2,3",3
72,1,0,0,1,1
73,0,1,0,2,1
74,1,1,1,"1,2,3",3
75,1,1,0,"1,2",2
76,1,1,0,"1,2",2
77,1,1,1,"1,2,3",3
78,1,1,1,"1,2,3",3
79,1,1,0,"1,2",2
80,0,1,1,"2,3",2
81,0,1,1,"2,3",2
82,1,0,0,1,1
83,1,0,1,"1,3",2
84,1,0,1,"1,3",2
85,1,0,0,1,1
86,1,0,0,1,1
87,0,1,0,2,1
88,0,1,0,2,1
89,0,1,0,2,1
90,0,0,1,3,1
91,0,0,1,3,1
92,0,0,1,3,1
93,0,0,1,3,1
94,0,0,1,3,1
95,0,1,0,2,1
96,1,0,1,"1,3",2
97,1,0,0,1,1
98,1,0,0,1,1
99,0,1,1,"2,3",2
100,0,1,0,2,1
101,0,1,0,2,1
102,0,1,0,2,1
103,0,1,0,2,1
104,0,1,0,2,1
105,0,1,0,2,1
106,0,0,1,3,1
107,0,0,1,3,1
108,0,0,1,3,1
109,0,1,0,2,1
110,1,0,0,1,1
111,1,1,0,"1,2",2
112,1,1,0,"1,2",2
113,1,1,0,"1,2",2
114,1,1,0,"1,2",2
115,1,0,0,1,1
116,1,0,0,1,1
117,0,1,0,2,1
118,0,0,1,3,1
119,0,0,1,3,1
120,0,1,0,2,1
121,1,0,0,1,1
122,1,1,0,"1,2",2
123,0,1,0,2,1
124,0,1,0,2,1
125,0,0,1,3,1
126,0,0,1,3,1
127,0,0,1,3,1
128,0,0,1,3,1
129,0,0,1,3,1
130,1,1,1,"1,2,3",3
131,1,0,1,"1,3",2
132,1,1,1,"1,2,3",3
133,1,1,1,"1,2,3",3
134,1,1,1,"1,2,3",3
135,1,1,1,"1,2,3",3
136,1,1,1,"1,2,3",3
137,1,1,1,"1,2,3",3
138,1,1,1,"1,2,3",3
139,1,1,1,"1,2,3",3
140,1,0,1,"1,3",2
141,1,0,0,1,1
142,0,1,0,2,1
143,1,1,0,"1,2",2
144,1,0,0,1,1
145,1,1,0,"1,2",2
146,1,1,0,"1,2",2
147,0,1,0,2,1
148,0,1,0,2,1
149,0,1,1,"2,3",2
150,0,1,1,"2,3",2
151,0,1,0,2,1
152,0,1,1,"2,3",2
153,1,1,1,"1,2,3",3
154,1,1,1,"1,2,3",3
155,1,1,1,"1,2,3",3
156,1,0,0,1,1
157,0,0,1,3,1
158,1,1,1,"1,2,3",3
159,1,1,1,"1,2,3",3
160,1,1,1,"1,2,3",3
161,0,0,1,3,1
162,1,1,1,"1,2,3",3
163,1,1,0,"1,2",2
164,1,1,1,"1,2,3",3
165,1,1,0,"1,2",2
166,0,1,0,2,1
167,1,0,0,1,1
168,0,1,0,2,1
169,1,1,0,"1,2",2
170,0,1,0,2,1
171,1,0,0,1,1
172,0,1,0,2,1
173,1,0,0,1,1
174,0,1,0,2,1
175,0,1,0,2,1
176,0,0,1,3,1
177,0,1,0,2,1
178,0,1,0,2,1
179,0,1,0,2,1
180,1,0,0,1,1
181,0,0,1,3,1
182,1,0,0,1,1
183,1,1,0,"1,2",2
184,1,1,0,"1,2",2
185,1,0,0,1,1
186,1,0,0,1,1
187,1,1,0,"1,2",2
188,0,1,0,2,1
189,0,1,0,2,1
190,0,1,0,2,1
191,1,1,0,"1,2",2
192,0,1,0,2,1
193,0,0,1,3,1
194,0,0,1,3,1
195,0,0,1,3,1
196,0,0,1,3,1
197,1,0,0,1,1
198,1,0,0,1,1
199,1,1,0,"1,2",2
200,0,0,1,3,1
201,1,0,0,1,1
202,1,0,0,1,1
203,1,0,0,1,1
204,1,0,0,1,1
205,1,0,0,1,1
206,1,1,0,"1,2",2
207,1,0,0,1,1
208,0,0,1,3,1
209,0,0,1,3,1
210,0,0,1,3,1
211,0,0,1,3,1
212,1,1,0,"1,2",2
213,1,0,0,1,1
214,1,1,1,"1,2,3",3
215,1,1,1,"1,2,3",3
216,1,1,1,"1,2,3",3
217,1,1,1,"1,2,3",3
218,1,0,0,1,1
219,1,0,0,1,1
220,0,0,1,3,1
221,0,0,1,3,1
222,1,0,0,1,1
223,1,0,1,"1,3",2
224,0,1,0,2,1
225,0,1,0,2,1
226,0,0,1,3,1
227,0,0,1,3,1
228,0,0,1,3,1
229,1,0,0,1,1
230,1,1,1,"1,2,3",3
231,1,0,0,1,1
232,0,0,1,3,1
233,1,0,0,1,1
234,1,0,0,1,1
235,0,1,1,"2,3",2
236,0,0,1,3,1
237,0,1,1,"2,3",2
238,1,1,1,"1,2,3",3
239,0,1,0,2,1
240,1,0,0,1,1
241,0,1,0,2,1
242,1,0,0,1,1
243,1,0,0,1,1
244,1,0,0,1,1
245,1,0,0,1,1
246,0,0,1,3,1
247,0,1,1,"2,3",2
248,0,1,1,"2,3",2
249,0,1,1,"2,3",2
250,1,1,1,"1,2,3",3
251,1,1,0,"1,2",2
252,0,1,0,2,1
253,0,1,0,2,1
254,1,0,0,1,1
255,1,1,1,"1,2,3",3
256,0,1,0,2,1
257,0,1,0,2,1
258,0,1,0,2,1
259,0,1,0,2,1
260,0,1,0,2,1
261,0,1,0,2,1
262,1,1,1,"1,2,3",3
263,0,0,1,3,1
264,0,1,1,"2,3",2
265,0,1,1,"2,3",2
266,0,1,1,"2,3",2
267,0,0,1,3,1
268,0,1,1,"2,3",2
269,0,0,1,3,1
270,0,0,1,3,1
271,0,0,1,3,1
272,0,0,1,3,1
273,0,0,1,3,1
274,0,1,1,"2,3",2
275,0,1,0,2,1
276,0,0,1,3,1
277,1,1,1,"1,2,3",3
278,1,1,1,"1,2,3",3
279,1,1,1,"1,2,3",3
280,1,0,1,"1,3",2
281,0,0,1,3,1
282,0,0,1,3,1
283,0,0,1,3,1
284,1,0,1,"1,3",2
285,1,1,1,"1,2,3",3
286,1,1,1,"1,2,3",3
287,1,1,1,"1,2,3",3
288,1,0,1,"1,3",2
289,1,0,0,1,1
290,0,1,1,"2,3",2
291,1,0,0,1,1
292,1,0,0,1,1
293,1,0,0,1,1
294,0,1,0,2,1
295,0,1,0,2,1
296,0,1,0,2,1
297,0,1,0,2,1
298,0,0,1,3,1
299,0,0,1,3,1
300,0,0,1,3,1
301,0,1,1,"2,3",2
302,1,0,1,"1,3",2
303,1,1,1,"1,2,3",3
304,0,1,0,2,1
305,0,1,0,2,1
306,0,1,1,"2,3",2
307,1,1,0,"1,2",2
308,0,1,1,"2,3",2
309,1,1,1,"1,2,3",3
310,1,1,1,"1,2,3",3
311,1,1,1,"1,2,3",3
312,1,1,1,"1,2,3",3
313,1,1,0,"1,2",2
314,0,1,0,2,1
315,0,1,1,"2,3",2
316,0,1,1,"2,3",2
317,0,0,1,3,1
318,0,1,0,2,1
319,0,1,0,2,1
320,0,1,0,2,1
321,0,1,0,2,1
322,1,1,1,"1,2,3",3
323,0,1,1,"2,3",2
324,1,0,0,1,1
325,0,0,1,3,1
326,0,0,1,3,1
327,1,1,0,"1,2",2
328,0,0,1,3,1
329,0,0,1,3,1
330,0,0,1,3,1
331,0,0,1,3,1
332,1,1,1,"1,2,3",3
333,1,1,1,"1,2,3",3
334,1,0,0,1,1
335,1,0,1,"1,3",2
336,1,1,1,"1,2,3",3
337,1,0,1,"1,3",2
338,0,1,1,"2,3",2
339,1,1,1,"1,2,3",3
340,0,1,1,"2,3",2
341,0,1,0,2,1
342,1,1,1,"1,2,3",3
343,1,1,1,"1,2,3",3
344,0,1,0,2,1
345,0,1,0,2,1
346,0,1,0,2,1
347,0,1,0,2,1
348,0,1,0,2,1
349,0,1,0,2,1
350,0,1,0,2,1
351,0,1,0,2,1
352,1,0,0,1,1
353,0,1,0,2,1
354,0,1,0,2,1
355,0,1,0,2,1
356,0,1,1,"2,3",2
357,0,1,1,"2,3",2
358,0,1,1,"2,3",2
359,0,1,0,2,1
360,0,1,0,2,1
361,0,1,0,2,1
362,0,1,0,2,1
363,1,1,0,"1,2",2
364,0,1,0,2,1
365,0,1,0,2,1
366,0,1,1,"2,3",2
367,0,1,1,"2,3",2
368,0,1,1,"2,3",2
369,1,1,1,"1,2,3",3
370,0,1,0,2,1
371,1,0,1,"1,3",2
372,0,1,0,2,1
373,0,1,0,2,1
374,0,0,1,3,1
375,0,0,1,3,1
376,0,1,1,"2,3",2
377,0,1,1,"2,3",2
378,0,0,1,3,1
379,1,0,0,1,1
380,1,0,0,1,1
381,1,0,0,1,1
382,1,1,1,"1,2,3",3
383,1,1,1,"1,2,3",3
384,1,1,1,"1,2,3",3
385,1,0,1,"1,3",2
386,1,1,1,"1,2,3",3
387,1,0,0,1,1
388,0,0,1,3,1
389,0,0,1,3,1
390,0,0,1,3,1
391,0,0,1,3,1
392,1,0,0,1,1
393,1,0,1,"1,3",2
394,1,0,0,1,1
395,1,1,0,"1,2",2
396,1,1,0,"1,2",2
397,1,1,0,"1,2",2
398,1,1,0,"1,2",2
399,1,0,0,1,1
400,1,0,0,1,1
401,1,0,1,"1,3",2
402,0,1,0,2,1
403,1,0,0,1,1
404,1,0,1,"1,3",2
405,0,1,0,2,1
406,0,1,0,2,1
407,0,1,0,2,1
408,0,0,1,3,1
409,1,0,1,"1,3",2
410,1,0,0,1,1
411,1,0,0,1,1
412,0,1,0,2,1
413,1,0,1,"1,3",2
414,1,0,1,"1,3",2
415,1,0,1,"1,3",2
416,0,0,1,3,1
417,1,1,1,"1,2,3",3
418,1,0,0,1,1
419,1,0,1,"1,3",2
420,1,1,0,"1,2",2
421,1,1,1,"1,2,3",3
422,1,1,1,"1,2,3",3
423,1,1,0,"1,2",2
424,1,1,1,"1,2,3",3
425,1,1,0,"1,2",2
426,1,1,1,"1,2,3",3
427,1,1,1,"1,2,3",3
428,0,0,1,3,1
429,1,1,0,"1,2",2
430,1,0,0,1,1
431,0,0,1,3,1
432,1,0,0,1,1
433,0,0,1,3,1
434,0,1,0,2,1
435,1,0,0,1,1
436,0,1,0,2,1
437,1,0,0,1,1
438,0,1,1,"2,3",2
439,0,1,0,2,1
440,0,1,0,2,1
441,0,0,1,3,1
442,0,1,0,2,1
443,0,0,1,3,1
444,0,0,1,3,1
445,1,1,1,"1,2,3",3
446,0,1,0,2,1
447,0,0,1,3,1
448,0,0,1,3,1
449,0,1,0,2,1
450,0,0,1,3,1
451,0,0,1,3,1
452,0,0,1,3,1
453,1,0,1,"1,3",2
454,1,0,0,1,1
455,1,0,1,"1,3",2
456,1,0,1,"1,3",2
457,0,1,0,2,1
458,0,0,1,3,1
459,0,0,1,3,1
460,0,1,0,2,1
461,0,1,0,2,1
462,0,0,1,3,1
463,0,0,1,3,1
464,1,0,0,1,1
465,1,0,1,"1,3",2
466,0,0,1,3,1
467,0,0,1,3,1
468,1,1,0,"1,2",2
469,1,1,0,"1,2",2
470,0,0,1,3,1
471,0,1,1,"2,3",2
472,0,1,1,"2,3",2
473,0,0,1,3,1
474,0,1,0,2,1
475,0,1,0,2,1
476,0,1,0,2,1
477,0,0,1,3,1
478,0,0,1,3,1
479,1,1,1,"1,2,3",3
480,1,1,1,"1,2,3",3
481,1,1,1,"1,2,3",3
482,0,1,1,"2,3",2
483,0,0,1,3,1
484,0,0,1,3,1
485,1,0,0,1,1
486,0,1,1,"2,3",2
487,1,0,0,1,1
488,0,0,1,3,1
489,0,0,1,3,1
490,0,0,1,3,1
491,1,0,0,1,1
492,0,0,1,3,1
493,1,0,1,"1,3",2
494,1,1,1,"1,2,3",3
495,0,0,1,3,1
496,0,0,1,3,1
497,0,0,1,3,1
498,1,1,0,"1,2",2
499,1,0,0,1,1
500,0,1,0,2,1
501,1,1,1,"1,2,3",3
502,1,1,1,"1,2,3",3
503,1,1,1,"1,2,3",3
504,1,1,1,"1,2,3",3
505,1,1,1,"1,2,3",3
506,1,1,1,"1,2,3",3
507,0,1,1,"2,3",2
508,1,1,1,"1,2,3",3
509,0,0,1,3,1
510,1,1,0,"1,2",2
511,0,1,0,2,1
512,0,0,1,3,1
513,0,1,1,"2,3",2
514,1,0,0,1,1
515,1,0,0,1,1
516,1,1,1,"1,2,3",3
517,1,1,0,"1,2",2
518,1,0,0,1,1
519,1,1,0,"1,2",2
520,1,0,0,1,1
521,1,0,0,1,1
522,1,0,0,1,1
523,1,1,0,"1,2",2
524,1,1,0,"1,2",2
525,1,1,0,"1,2",2
526,1,0,1,"1,3",2
527,1,0,0,1,1
528,1,1,1,"1,2,3",3
529,1,1,1,"1,2,3",3
530,0,0,1,3,1
531,1,0,0,1,1
532,1,0,1,"1,3",2
533,1,0,1,"1,3",2
534,1,0,1,"1,3",2
535,1,1,1,"1,2,3",3
536,1,1,1,"1,2,3",3
537,0,1,1,"2,3",2
538,0,1,1,"2,3",2
539,0,1,1,"2,3",2
540,1,0,0,1,1
541,0,0,1,3,1
542,1,0,0,1,1
543,1,0,0,1,1
544,1,0,0,1,1
545,1,0,0,1,1
546,0,0,1,3,1
547,0,0,1,3,1
548,0,0,1,3,1
549,1,0,0,1,1
550,1,0,0,1,1
551,1,1,1,"1,2,3",3
552,0,0,1,3,1
553,0,0,1,3,1
554,0,0,1,3,1
555,0,0,1,3,1
556,0,1,1,"2,3",2
557,0,0,1,3,1
558,0,1,0,2,1
559,0,0,1,3,1
560,0,0,1,3,1
561,0,0,1,3,1
562,0,0,1,3,1
563,1,0,1,"1,3",2
564,1,0,1,"1,3",2
565,1,0,1,"1,3",2
566,1,0,1,"1,3",2
567,1,0,1,"1,3",2
568,1,0,0,1,1
569,1,1,0,"1,2",2
570,1,1,0,"1,2",2
571,1,1,0,"1,2",2
572,0,0,1,3,1
573,1,0,0,1,1
574,0,1,0,2,1
575,1,0,0,1,1
576,1,0,0,1,1
577,1,0,0,1,1
578,1,0,0,1,1
579,1,0,0,1,1
580,1,1,0,"1,2",2
581,1,1,0,"1,2",2
582,1,0,0,1,1
583,0,1,0,2,1
584,1,0,0,1,1
585,0,1,0,2,1
586,1,0,0,1,1
587,0,0,1,3,1
588,0,1,0,2,1
589,1,0,0,1,1
590,1,1,0,"1,2",2
591,1,0,0,1,1
592,1,0,0,1,1
593,1,0,0,1,1
594,1,0,0,1,1
595,1,0,0,1,1
596,0,1,0,2,1
597,0,1,0,2,1
598,1,0,0,1,1
599,1,0,1,"1,3",2
600,1,0,1,"1,3",2
601,0,1,0,2,1
602,0,1,0,2,1
603,0,0,1,3,1
604,0,0,1,3,1
605,0,1,0,2,1
606,0,1,0,2,1
607,0,1,0,2,1
608,0,1,0,2,1
609,1,1,1,"1,2,3",3
610,0,0,1,3,1
611,1,1,1,"1,2,3",3
612,0,1,0,2,1
613,0,1,0,2,1
614,0,1,0,2,1
615,1,1,1,"1,2,3",3
616,1,1,1,"1,2,3",3
617,1,1,1,"1,2,3",3
618,1,1,1,"1,2,3",3
619,1,1,1,"1,2,3",3
620,1,1,0,"1,2",2
621,1,0,0,1,1
622,0,1,0,2,1
623,0,1,0,2,1
624,0,1,0,2,1
625,1,1,0,"1,2",2
626,0,1,0,2,1
627,1,0,0,1,1
628,1,0,0,1,1
629,1,0,0,1,1
630,1,0,0,1,1
631,1,0,0,1,1
632,1,0,0,1,1
633,0,1,0,2,1
634,1,0,0,1,1
635,0,1,0,2,1
636,0,0,1,3,1
637,0,1,1,"2,3",2
638,0,0,1,3,1
639,0,1,1,"2,3",2
640,1,0,0,1,1
641,1,0,0,1,1
642,1,0,0,1,1
643,0,0,1,3,1
644,1,0,0,1,1
645,0,0,1,3,1
646,0,0,1,3,1
647,0,1,1,"2,3",2
648,0,1,1,"2,3",2
649,0,0,1,3,1
650,0,1,1,"2,3",2
651,0,1,1,"2,3",2
652,0,1,1,"2,3",2
653,0,1,1,"2,3",2
654,1,1,1,"1,2,3",3
655,1,0,0,1,1
656,1,0,0,1,1
657,1,0,0,1,1
658,1,0,0,1,1
659,1,0,0,1,1
660,1,0,0,1,1
661,1,0,0,1,1
662,1,0,0,1,1
663,1,0,0,1,1
664,1,0,0,1,1
665,1,0,0,1,1
666,1,0,0,1,1
667,0,1,1,"2,3",2
668,1,0,1,"1,3",2
669,0,1,1,"2,3",2
670,0,1,0,2,1
671,0,1,0,2,1
672,0,1,0,2,1
673,1,0,0,1,1
674,0,1,1,"2,3",2
675,1,0,0,1,1
676,1,0,0,1,1
677,0,1,0,2,1
678,1,0,0,1,1
679,1,1,1,"1,2,3",3
680,1,0,0,1,1
681,1,0,0,1,1
682,0,0,1,3,1
683,0,1,1,"2,3",2
684,1,0,0,1,1
685,0,1,0,2,1
686,0,1,0,2,1
687,0,1,1,"2,3",2
688,0,1,1,"2,3",2
689,0,0,1,3,1
690,1,0,0,1,1
691,1,0,1,"1,3",2
692,1,0,0,1,1
693,1,0,1,"1,3",2
694,1,0,0,1,1
695,1,0,0,1,1
696,1,0,0,1,1
697,1,0,0,1,1
698,1,0,0,1,1
699,1,0,0,1,1
700,0,1,0,2,1
701,0,1,0,2,1
702,0,1,0,2,1
703,0,0,1,3,1
704,1,0,0,1,1
705,1,0,0,1,1
706,1,0,0,1,1
707,1,1,0,"1,2",2
708,1,1,0,"1,2",2
709,0,1,0,2,1
710,1,1,0,"1,2",2
