repeat_idx,accuracy_mean
0,0.3023255813953489
1,0.31007751937984496
2,0.3798449612403101
3,0.2945736434108527
4,0.27906976744186046
5,0.3333333333333333
6,0.3333333333333333
7,0.3023255813953488
8,0.3488372093023256
9,0.3643410852713178
10,0.31007751937984496
11,0.3565891472868217
12,0.37984496124031003
13,0.3333333333333333
14,0.3255813953488372
15,0.310077519379845
16,0.34108527131782945
17,0.31007751937984496
18,0.3798449612403101
19,0.3255813953488372
20,0.32558139534883723
21,0.3333333333333333
22,0.3488372093023256
23,0.34108527131782945
24,0.31782945736434104
25,0.31782945736434115
26,0.3178294573643411
27,0.3255813953488372
28,0.3488372093023256
29,0.31782945736434104
