component_idx,selection_frequency,mean_abs_coef
8,1.0,0.04315755699246676
6,1.0,0.041433043941827126
16,1.0,0.04030476902962939
7,1.0,0.03872308543715995
2,1.0,0.03135695499453645
4,1.0,0.030744228305840084
5,0.96,0.03167824841787104
9,0.64,0.025667016115428064
1,0.64,0.0238178509153743
13,0.6,0.023815126525276654
36,0.36,0.022001615223479435
20,0.32,0.0220031581915833
27,0.32,0.01966650137178176
18,0.08,0.01898739942683475
33,0.04,0.016241893378852523
3,0.04,0.013304448242614168
19,0.0,0.016349086135793753
15,0.0,0.016331022936729646
35,0.0,0.015102620013570434
30,0.0,0.014152389511990902
29,0.0,0.014032914959680605
12,0.0,0.013960434253570932
38,0.0,0.013214429938502121
37,0.0,0.012222642526550326
39,0.0,0.012176985779045827
25,0.0,0.011172600078871976
32,0.0,0.010795645991025511
24,0.0,0.010553704267660821
26,0.0,0.009498763657093292
10,0.0,0.009263537811359102
28,0.0,0.00922230596514171
23,0.0,0.00862485815723748
0,0.0,0.007974686166056465
22,0.0,0.00781737056295087
21,0.0,0.007355846397699122
34,0.0,0.007209873933803177
14,0.0,0.006867245382812585
17,0.0,0.006830049631482711
11,0.0,0.006055481951917292
31,0.0,0.006036413077027128
