Mouse_ID,Domain,Class_ID,Class_Name,Trial_Count,Total_Neurons,Metric,Value,Current_RR_Count,Other_RR_Count,Pair_Count
M78_1017,graph,3.0,Random,,,modularity,0.2878641325634557,,,
M78_1017,graph,1.0,Convergent,,,betweenness_mean,0.0017801632949106928,,,
M78_1017,graph,2.0,Divergent,,,betweenness_mean,0.0017799481155271874,,,
M78_1017,graph,3.0,Random,,,betweenness_mean,0.0017697087258388977,,,
M78_1017,graph,1.0,Convergent,,,mean_correlation,0.18678354701772454,,,
M78_1017,graph,2.0,Divergent,,,mean_correlation,0.18794049076785782,,,
M78_1017,graph,3.0,Random,,,mean_correlation,0.19547069849930201,,,
M78_1017,graph,1.0,Convergent,,,abs_mean_correlation,0.18679782756625465,,,
M78_1017,graph,2.0,Divergent,,,abs_mean_correlation,0.18798647344806646,,,
M78_1017,graph,3.0,Random,,,abs_mean_correlation,0.1954928970894388,,,
M78_1017,graph,1.0,Convergent,,,positive_edge_fraction,0.9991374560653558,,,
M78_1017,graph,2.0,Divergent,,,positive_edge_fraction,0.9976327538709984,,,
M78_1017,graph,3.0,Random,,,positive_edge_fraction,0.9989398689085209,,,
M78_1017,graph,1.0,Convergent,,,negative_edge_fraction,0.0008625439346442481,,,
M78_1017,graph,2.0,Divergent,,,negative_edge_fraction,0.002367246129001615,,,
M78_1017,graph,3.0,Random,,,negative_edge_fraction,0.001060131091479054,,,
M78_1017,graph,1.0,Convergent,,,degree_assortativity,0.010058124863711089,,,
M78_1017,graph,2.0,Divergent,,,degree_assortativity,-0.024698238491157248,,,
M78_1017,graph,3.0,Random,,,degree_assortativity,-0.002706195150966338,,,
M78_1017,graph,1.0,Convergent,,,avg_shortest_path_lcc,2.695602615633811,,,
M78_1017,graph,2.0,Divergent,,,avg_shortest_path_lcc,2.5980369982942713,,,
M78_1017,graph,3.0,Random,,,avg_shortest_path_lcc,2.6185086519307847,,,
M78_1017,graph,1.0,Convergent,,,diameter_lcc,7.0,,,
M78_1017,graph,2.0,Divergent,,,diameter_lcc,7.0,,,
M78_1017,graph,3.0,Random,,,diameter_lcc,8.0,,,
M78_1017,graph,1.0,Convergent,,,degree_centralization,0.34543722613831207,,,
M78_1017,graph,2.0,Divergent,,,degree_centralization,0.3537359497047057,,,
M78_1017,graph,3.0,Random,,,degree_centralization,0.2970280053343494,,,
