Class_ID,Class_Name,Decile_Index,Decile_Label,Lower_Quantile,Upper_Quantile,Pair_Count,Mean_Correlation,Min_Correlation,Max_Correlation
1,Divergent,1,0-10%,0.0,0.1,26318,0.0632244803414611,-0.02978924752999506,0.08940793412628388
1,Divergent,2,10-20%,0.1,0.2,26318,0.10423760254775939,0.08941114758557647,0.11743924945317884
1,Divergent,3,20-30%,0.2,0.3,26318,0.12869577169633847,0.11744029790674891,0.13927393806095156
1,Divergent,4,30-40%,0.3,0.4,26318,0.14902746231040118,0.13927412667332767,0.15867924636783687
1,Divergent,5,40-50%,0.4,0.5,26318,0.1682389932479949,0.158679782142897,0.1777823009253945
1,Divergent,6,50-60%,0.5,0.6,26317,0.18754579583750872,0.17778232960890644,0.19773684989661894
1,Divergent,7,60-70%,0.6,0.7,26317,0.20868998433881866,0.19773705062300992,0.2202833254140608
1,Divergent,8,70-80%,0.7,0.8,26317,0.2337478012829011,0.22028338956792556,0.24864538288689975
1,Divergent,9,80-90%,0.8,0.9,26317,0.26791319339160186,0.24864566300215854,0.2911614302501114
1,Divergent,10,90-100%,0.9,1.0,26317,0.3565265633724112,0.2911615231395191,0.977259483647579
2,Convergent,1,0-10%,0.0,0.1,26318,0.05414161326001762,-0.05042009111163727,0.08296587786103084
2,Convergent,2,10-20%,0.1,0.2,26318,0.10014098858467337,0.08296766319690309,0.1153567956491749
2,Convergent,3,20-30%,0.2,0.3,26318,0.12786842308985447,0.11535714125721235,0.13967292009867951
2,Convergent,4,30-40%,0.3,0.4,26318,0.1505919949349245,0.13967325342733114,0.16116877605369373
2,Convergent,5,40-50%,0.4,0.5,26318,0.17137981218346646,0.16116944969172708,0.18163187159393127
2,Convergent,6,50-60%,0.5,0.6,26317,0.1919449254415197,0.18163285198946263,0.20259751432614187
2,Convergent,7,60-70%,0.6,0.7,26317,0.2139313759729923,0.20259884585643315,0.22592688160753505
2,Convergent,8,70-80%,0.7,0.8,26317,0.23961565525262682,0.2259287401475799,0.254330135339258
2,Convergent,9,80-90%,0.8,0.9,26317,0.2728464452579384,0.25433035861259584,0.29461618104218074
2,Convergent,10,90-100%,0.9,1.0,26317,0.356956425139626,0.294617566321814,0.9754296315019695
3,Random,1,0-10%,0.0,0.1,26318,0.06333526825173731,-0.044001688827332026,0.0914843402011636
3,Random,2,10-20%,0.1,0.2,26318,0.10780416163945988,0.09148578400935567,0.12225117206436167
3,Random,3,20-30%,0.2,0.3,26318,0.13458121412091056,0.12225171487569178,0.1462588844624136
3,Random,4,30-40%,0.3,0.4,26318,0.157134541490356,0.14626060540201563,0.16772862430179358
3,Random,5,40-50%,0.4,0.5,26318,0.1780362547257617,0.16772937704240193,0.1883461275564088
3,Random,6,50-60%,0.5,0.6,26317,0.1989140475856867,0.18834616195367104,0.20972445842955048
3,Random,7,60-70%,0.6,0.7,26317,0.22153657713618885,0.20972706413672348,0.23376357532252862
3,Random,8,70-80%,0.7,0.8,26317,0.24746228960291589,0.23376442685220325,0.2626047625670612
3,Random,9,80-90%,0.8,0.9,26317,0.28152713244990163,0.2626048412310712,0.3039015876226927
3,Random,10,90-100%,0.9,1.0,26317,0.36438828295997927,0.30390621372810994,0.9828369794204512
