,Convergent,Divergent,Random
Convergent,0.9999999999962709,0.9624390379466103,0.9501862841257559
Divergent,0.9624390379466103,0.9999999999963354,0.9554397934113863
Random,0.9501862841257559,0.9554397934113863,0.9999999999968868
