Class_ID,Class_Name,N_Trials,N_Neurons,Effective_Dim_PR,Effective_Dim_eRank,Effective_Dim_90Var
1,Divergent,42,726,14.598879955294171,22.75422432034498,24.0
2,Convergent,42,726,10.818329954559143,18.979006585864248,22.0
3,Random,42,726,14.709540402725427,22.905454893592367,24.0
