layer_pair,layer_a,layer_b,n_edges,importance_sum,importance_mean,corr_mean,layer_source
DepthMid--DepthLow,DepthMid,DepthLow,58564,0.22707574358574673,3.877394706402341e-06,0.11836949244326589,depth_tertile_from_neuron_pos_spi_axis0
DepthHigh--DepthMid,DepthHigh,DepthMid,58564,0.21552112000002532,3.6800956218841836e-06,0.12652233580453653,depth_tertile_from_neuron_pos_spi_axis0
DepthHigh--DepthLow,DepthHigh,DepthLow,58564,0.21445050543566319,3.661814518059955e-06,0.11153203286767156,depth_tertile_from_neuron_pos_spi_axis0
DepthLow--DepthLow,DepthLow,DepthLow,29161,0.1197932377265615,4.107994846766624e-06,0.1288375101155322,depth_tertile_from_neuron_pos_spi_axis0
DepthMid--DepthMid,DepthMid,DepthMid,29161,0.11514188435694307,3.948488884364153e-06,0.14212269844189945,depth_tertile_from_neuron_pos_spi_axis0
DepthHigh--DepthHigh,DepthHigh,DepthHigh,29161,0.10801750889505657,3.7041771165274364e-06,0.14903698206652,depth_tertile_from_neuron_pos_spi_axis0
