Class_ID,Class_Name,Decile_Index,Mean_Correlation,Noise_Mean_Corr,Corr_Delta_vs_D1,Noise_Delta_vs_D1
1,Divergent,1,0.0632244803414611,-0.1670372586723775,0.0,0.0
1,Divergent,2,0.10423760254775939,-0.050693258465800244,0.0410131222062983,0.11634400020657726
1,Divergent,3,0.12869577169633847,0.01195764507293818,0.06547129135487738,0.17899490374531568
1,Divergent,4,0.14902746231040118,0.06351804124124015,0.08580298196894008,0.23055529991361767
1,Divergent,5,0.1682389932479949,0.11027867994461488,0.10501451290653381,0.2773159386169924
1,Divergent,6,0.18754579583750872,0.15683124208294966,0.12432131549604762,0.32386850075532714
1,Divergent,7,0.20868998433881866,0.2055952712121687,0.14546550399735758,0.3726325298845462
1,Divergent,8,0.2337478012829011,0.2603551517196761,0.17052332094144002,0.4273924103920536
1,Divergent,9,0.26791319339160186,0.32946062088180844,0.20468871305014075,0.49649787955418595
1,Divergent,10,0.3565265633724112,0.47433289191214406,0.29330208303095007,0.6413701505845215
2,Convergent,1,0.05414161326001762,-0.1924926852151558,0.0,0.0
2,Convergent,2,0.10014098858467337,-0.0731582827572202,0.04599937532465575,0.11933440245793561
2,Convergent,3,0.12786842308985447,-0.0062433658022057244,0.07372680982983684,0.1862493194129501
2,Convergent,4,0.1505919949349245,0.050706364890223836,0.09645038167490688,0.24319905010537965
2,Convergent,5,0.17137981218346646,0.10454598744666681,0.11723819892344883,0.2970386726618226
2,Convergent,6,0.1919449254415197,0.15786536945621463,0.13780331218150207,0.35035805467137043
2,Convergent,7,0.2139313759729923,0.21384764528987046,0.15978976271297468,0.40634033050502627
2,Convergent,8,0.23961565525262682,0.2772232813405442,0.1854740419926092,0.4697159665557
2,Convergent,9,0.2728464452579384,0.35762394270532527,0.21870483199792076,0.5501166279204811
2,Convergent,10,0.356956425139626,0.5157375041424946,0.3028148118796084,0.7082301893576505
3,Random,1,0.06333526825173731,-0.20213571871499617,0.0,0.0
3,Random,2,0.10780416163945988,-0.08369607191104733,0.04446889338772257,0.11843964680394883
3,Random,3,0.13458121412091056,-0.013522571693714834,0.07124594586917325,0.18861314702128132
3,Random,4,0.157134541490356,0.04578464103676087,0.09379927323861868,0.24792035975175702
3,Random,5,0.1780362547257617,0.10053012648151521,0.1147009864740244,0.3026658451965114
3,Random,6,0.1989140475856867,0.1547259295121258,0.1355787793339494,0.35686164822712196
3,Random,7,0.22153657713618885,0.21084231041075258,0.15820130888445155,0.41297802912574877
3,Random,8,0.24746228960291589,0.2733503698282772,0.1841270213511786,0.47548608854327334
3,Random,9,0.28152713244990163,0.3518069029082672,0.21819186419816433,0.5539426216232634
3,Random,10,0.36438828295997927,0.5060769185540979,0.301053014708242,0.708212637269094
