strength_decile,n_edges,importance_sum,importance_mean,corr_mean
1,26318,0.08139243847814764,3.092652879327747e-06,0.011573509245307959
2,26317,0.08754794833760139,3.3266690100543904e-06,0.04946794658446849
3,26318,0.09141995250861727,3.473666407349239e-06,0.0712210841680554
4,26317,0.09462044956256144,3.5954116944393905e-06,0.08952190558881747
5,26318,0.09749254385851952,3.7044054965620306e-06,0.10682438942274866
6,26317,0.09994994338911074,3.7979231443215695e-06,0.12463392822772268
7,26318,0.10275647962125219,3.904418254474207e-06,0.14427744883080137
8,26317,0.10552612764360894,4.009808399270773e-06,0.16800717991604816
9,26318,0.1099567353906018,4.1780049924235046e-06,0.2010242268787813
10,26317,0.12933738120997545,4.914594414635994e-06,0.29197367495847154
