component_idx,base_accuracy_mean,base_accuracy_std,ablation_accuracy_mean,ablation_accuracy_std,delta_vs_base,selection_frequency,mean_abs_coef
7,0.8888888888888888,0.027492869961410784,0.761904761904762,0.06299407883487121,0.12698412698412687,1.0,0.03872308543715995
6,0.8888888888888888,0.027492869961410784,0.7698412698412699,0.05991932091484724,0.11904761904761896,1.0,0.041433043941827126
1,0.8888888888888888,0.027492869961410784,0.8174603174603173,0.07653691080153141,0.07142857142857151,0.64,0.0238178509153743
8,0.8888888888888888,0.027492869961410784,0.8174603174603176,0.036369648372665375,0.07142857142857129,1.0,0.04315755699246676
9,0.8888888888888888,0.027492869961410784,0.8174603174603176,0.07273929674533076,0.07142857142857129,0.64,0.025667016115428064
16,0.8888888888888888,0.027492869961410784,0.8333333333333334,0.08584645893961876,0.05555555555555547,1.0,0.04030476902962939
4,0.8888888888888888,0.027492869961410784,0.8333333333333334,0.041239304942116105,0.05555555555555547,1.0,0.030744228305840084
5,0.8888888888888888,0.027492869961410784,0.8412698412698413,0.036369648372665375,0.04761904761904756,0.96,0.03167824841787104
13,0.8888888888888888,0.027492869961410784,0.8492063492063492,0.036369648372665375,0.03968253968253965,0.6,0.023815126525276654
2,0.8888888888888888,0.027492869961410784,0.8571428571428571,0.06299407883487121,0.031746031746031744,1.0,0.03135695499453645
