component_idx,base_accuracy_mean,base_accuracy_std,ablation_accuracy_mean,ablation_accuracy_std,delta_vs_base,selection_frequency,mean_abs_coef
11,0.7999999999999999,0.049487165930539305,0.6952380952380953,0.016495721976846456,0.10476190476190461,1.0,0.15662941404361297
1,0.7999999999999999,0.049487165930539305,0.6952380952380953,0.016495721976846456,0.10476190476190461,0.84,0.1044452701417586
7,0.7999999999999999,0.049487165930539305,0.7333333333333334,0.11547005383792514,0.06666666666666654,0.88,0.1189010345876149
8,0.7999999999999999,0.049487165930539305,0.7619047619047619,0.08728715609439691,0.03809523809523807,0.92,0.10704466758425181
34,0.7999999999999999,0.049487165930539305,0.7714285714285715,0.0,0.02857142857142847,0.52,0.09073254053179468
9,0.7999999999999999,0.049487165930539305,0.780952380952381,0.06598288790738577,0.01904761904761898,1.0,0.14956567490807926
20,0.7999999999999999,0.049487165930539305,0.780952380952381,0.09184429296183763,0.01904761904761898,0.88,0.10360884918099529
25,0.7999999999999999,0.049487165930539305,0.780952380952381,0.04364357804719849,0.01904761904761898,0.68,0.09371564544114187
38,0.7999999999999999,0.049487165930539305,0.780952380952381,0.016495721976846456,0.01904761904761898,0.52,0.07999101917342384
27,0.7999999999999999,0.049487165930539305,0.8000000000000002,0.057142857142857106,-2.220446049250313e-16,0.76,0.09572457689633561
