repeat_idx,accuracy_mean
0,0.3142857142857143
1,0.30476190476190473
2,0.3523809523809524
3,0.30476190476190473
4,0.38095238095238093
5,0.30476190476190473
6,0.3333333333333333
7,0.36190476190476195
8,0.3428571428571428
9,0.3333333333333333
10,0.39999999999999997
11,0.3523809523809524
12,0.3142857142857143
13,0.2380952380952381
14,0.3428571428571428
15,0.3142857142857143
16,0.36190476190476195
17,0.3428571428571428
18,0.3523809523809524
19,0.3904761904761904
20,0.3238095238095238
21,0.3428571428571428
22,0.39999999999999997
23,0.3523809523809524
24,0.30476190476190473
25,0.3333333333333333
26,0.3238095238095238
27,0.3428571428571428
28,0.3333333333333333
29,0.3619047619047619
