Class_ID,Class_Name,N_Trials,N_Neurons,Effective_Dim_PR,Effective_Dim_eRank,Effective_Dim_90Var
1,Divergent,35,191,10.338157381725612,16.092748731408864,16.0
2,Convergent,35,191,10.911933248776991,16.394667408457813,17.0
3,Random,35,191,11.059593933955734,16.999452631343647,17.0
