Class_ID,Class_Name,Network_Type,Strong_Threshold,Weak_Threshold,Edge_Mean_Corr,Edge_Min_Corr,Edge_Max_Corr,efficiency,modularity,local_efficiency,avg_clustering,density,n_edges
1,1,strong_threshold,0.35,0.1,0.46180319317796104,0.3500261419033241,0.9587403126286951,0.26743271792045675,0.3049863423517169,0.7212309546778288,0.6338124211544106,0.06833838523009093,1240
1,1,weak_threshold,0.35,0.1,0.07011829407292314,-0.014670217509345428,0.09998922994014973,0.41840268209794346,0.17987584671485457,0.5507312154551944,0.3769342763593998,0.06701570680628273,1216
2,2,strong_threshold,0.35,0.1,0.48953835479032787,0.35005832159840194,0.973972051825274,0.21829497390944125,0.46449539806970036,0.7182253759759324,0.6377846448702047,0.04717553044915955,856
2,2,weak_threshold,0.35,0.1,0.0711789837775636,-0.022112255991524717,0.0999942424901001,0.44098006797101125,0.16121393328857314,0.43654417251693234,0.2318181723316436,0.09280793607054284,1684
3,3,strong_threshold,0.35,0.1,0.42744878826416693,0.35001684800610283,0.9737008928679399,0.39807975435974885,0.2191811172671165,0.7118925880073272,0.5865522005920721,0.13210250757784514,2397
3,3,weak_threshold,0.35,0.1,0.060513814104984354,-0.027522662664185554,0.09996851788763317,0.5413107375769293,0.14526357343768326,0.7824429700004518,0.5996110912628094,0.08696610636538991,1578
