Class_ID,Class_Name,Decile_Index,Decile_Label,Lower_Quantile,Upper_Quantile,Pair_Count,Mean_Correlation,Min_Correlation,Max_Correlation
1,Divergent,1,0-10%,0.0,0.1,1815,0.08260654723865016,-0.014670217509345428,0.11525368348625079
1,Divergent,2,10-20%,0.1,0.2,1815,0.13238170139405564,0.11527227815662092,0.1471762117474289
1,Divergent,3,20-30%,0.2,0.3,1815,0.15953211031562628,0.14717815871746423,0.17125564893807096
1,Divergent,4,30-40%,0.3,0.4,1815,0.1817817842555745,0.171297862036034,0.19150349217247842
1,Divergent,5,40-50%,0.4,0.5,1815,0.2013889761766211,0.19150563373080692,0.21106223501431273
1,Divergent,6,50-60%,0.5,0.6,1814,0.22103615491063824,0.21107501745231358,0.23078962316246165
1,Divergent,7,60-70%,0.6,0.7,1814,0.24240407972928954,0.23079946037707885,0.25497776873740485
1,Divergent,8,70-80%,0.7,0.8,1814,0.26894466355748986,0.25498072572020364,0.2840581903474537
1,Divergent,9,80-90%,0.8,0.9,1814,0.30436489999644045,0.28406726606398086,0.32736700868017576
1,Divergent,10,90-100%,0.9,1.0,1814,0.42253478502188785,0.32737977126761675,0.9587403126286951
2,Convergent,1,0-10%,0.0,0.1,1815,0.07336023555367881,-0.022112255991524717,0.10276363561165673
2,Convergent,2,10-20%,0.1,0.2,1815,0.11908502196421077,0.10277257406498792,0.13332614332657675
2,Convergent,3,20-30%,0.2,0.3,1815,0.14541284709221977,0.1333361933605368,0.15640293808388145
2,Convergent,4,30-40%,0.3,0.4,1815,0.16661427013787805,0.15642193640252688,0.17661493837162542
2,Convergent,5,40-50%,0.4,0.5,1815,0.186700254013941,0.17662083606755263,0.19624598442285668
2,Convergent,6,50-60%,0.5,0.6,1814,0.20593975557844746,0.1962732228867955,0.2158757824574899
2,Convergent,7,60-70%,0.6,0.7,1814,0.22665181079477037,0.21588149086659567,0.23833034874348746
2,Convergent,8,70-80%,0.7,0.8,1814,0.25203694189758086,0.2383304423353118,0.2667832026350997
2,Convergent,9,80-90%,0.8,0.9,1814,0.2855163436702512,0.26679351457009093,0.30723100911613355
2,Convergent,10,90-100%,0.9,1.0,1814,0.40299276679051843,0.3072405137552153,0.973972051825274
3,Random,1,0-10%,0.0,0.1,1815,0.06616639389239337,-0.027522662664185554,0.10751633342799909
3,Random,2,10-20%,0.1,0.2,1815,0.13290071951322097,0.10753325226471402,0.1552175402587598
3,Random,3,20-30%,0.2,0.3,1815,0.17284935270783494,0.15522040667253953,0.18891401711366176
3,Random,4,30-40%,0.3,0.4,1815,0.20437166801449985,0.18891905138024784,0.21992715753026773
3,Random,5,40-50%,0.4,0.5,1815,0.23376047117074503,0.21996565400725407,0.24690072858846218
3,Random,6,50-60%,0.5,0.6,1814,0.2595927631944562,0.24690381659774285,0.27180737929296656
3,Random,7,60-70%,0.6,0.7,1814,0.28430444495549706,0.27183137294394516,0.2967163250128716
3,Random,8,70-80%,0.7,0.8,1814,0.3103176027182189,0.2967396094998144,0.32578513434682294
3,Random,9,80-90%,0.8,0.9,1814,0.34384899738105057,0.32583852437240396,0.3648752978190228
3,Random,10,90-100%,0.9,1.0,1814,0.4500374118768423,0.36489584514308154,0.9737008928679399
