Time(s),Accuracy,Baseline,Accuracy_STD
-2.5,0.45,0.38333333333333336,0.0795434503515353
-2.25,0.4333333333333333,0.4333333333333333,0.07243558228002944
-2.0,0.42777777777777776,0.3611111111111111,0.1138550085106622
-1.75,0.3944444444444445,0.3833333333333333,0.060220787190774436
-1.5,0.45,0.4666666666666666,0.07190099503080435
-1.25,0.40555555555555556,0.4666666666666666,0.06394924685122964
-1.0,0.3888888888888889,0.4666666666666666,0.06514466333088095
-0.75,0.45555555555555555,0.4,0.04212708580028639
-0.5,0.45,0.4333333333333334,0.07954345035153532
-0.25,0.41666666666666663,0.4333333333333333,0.07607257743127308
0.0,0.4111111111111111,0.3944444444444445,0.06631853547951846
0.25,0.6888888888888889,0.4,0.060220787190774436
0.5,0.861111111111111,0.4,0.04392052305789412
0.75,0.9055555555555556,0.42777777777777776,0.04212708580028637
1.0,0.9166666666666667,0.39444444444444443,0.06211299937499414
1.25,0.9277777777777778,0.3888888888888889,0.07243558228002941
1.5,0.95,0.3944444444444445,0.036217791140014735
1.75,0.9277777777777777,0.38888888888888895,0.050460839234958185
2.0,0.9333333333333333,0.4222222222222222,0.060858061945018437
2.25,0.9277777777777777,0.4,0.07505142270059052
2.5,0.9222222222222222,0.4166666666666667,0.07453559924999298
2.75,0.9222222222222222,0.38888888888888895,0.07453559924999298
3.0,0.9277777777777777,0.39444444444444443,0.08002700161604406
3.25,0.9555555555555555,0.4611111111111111,0.031671539586087184
3.5,0.9555555555555555,0.4722222222222222,0.031671539586087184
3.75,0.9444444444444444,0.4055555555555556,0.019641855032959663
4.0,0.95,0.4111111111111111,0.02324055629261322
4.25,0.9666666666666666,0.45555555555555555,0.036217791140014735
4.5,0.961111111111111,0.4222222222222222,0.04648111258522644
4.75,0.95,0.4111111111111111,0.06022078719077443
5.0,0.9666666666666666,0.3888888888888889,0.04564354645876387
5.25,0.9555555555555555,0.3777777777777778,0.04212708580028641
5.5,0.95,0.38888888888888895,0.03621779114001473
5.75,0.9444444444444444,0.41111111111111115,0.04392052305789418
6.0,0.9333333333333333,0.4111111111111111,0.03167153958608718
6.25,0.9222222222222222,0.3888888888888889,0.045643546458763826
6.5,0.8722222222222223,0.41111111111111115,0.08914892519934005
6.75,0.8722222222222221,0.43888888888888894,0.05046083923495817
7.0,0.8666666666666668,0.39444444444444443,0.03621779114001467
7.25,0.8111111111111111,0.39999999999999997,0.06631853547951844
7.5,0.8055555555555556,0.39999999999999997,0.06211299937499415
7.75,0.7722222222222223,0.5055555555555555,0.04120110270608703
8.0,0.7777777777777778,0.5055555555555555,0.0340206908719886
8.25,0.7666666666666667,0.5111111111111111,0.06394924685122969
8.5,0.6666666666666666,0.45555555555555555,0.05555555555555554
8.75,0.6055555555555555,0.42777777777777776,0.06631853547951844
9.0,0.5833333333333333,0.4333333333333333,0.10393492741038723
9.25,0.611111111111111,0.4111111111111111,0.11283386673105499
9.5,0.5055555555555555,0.4444444444444445,0.09702360664762769
9.75,0.5222222222222223,0.4444444444444445,0.0719009950308044
