layer_pair,layer_a,layer_b,n_edges,importance_sum,importance_mean,corr_mean,layer_source
DepthMid--DepthLow,DepthMid,DepthLow,4032,0.22506459978871907,5.581959320156723e-05,0.1741406530937586,depth_tertile_from_neuron_pos_spi_axis0
DepthHigh--DepthLow,DepthHigh,DepthLow,4096,0.22204858865736915,5.4211081215178015e-05,0.15915332308527647,depth_tertile_from_neuron_pos_spi_axis0
DepthMid--DepthHigh,DepthMid,DepthHigh,4032,0.2067478717905064,5.1276753916296236e-05,0.15432232617591085,depth_tertile_from_neuron_pos_spi_axis0
DepthLow--DepthLow,DepthLow,DepthLow,2016,0.12272305236477901,6.087452994284673e-05,0.22227494036805043,depth_tertile_from_neuron_pos_spi_axis0
DepthHigh--DepthHigh,DepthHigh,DepthHigh,2016,0.11227850074414451,5.56937007659447e-05,0.17359604812425955,depth_tertile_from_neuron_pos_spi_axis0
DepthMid--DepthMid,DepthMid,DepthMid,1953,0.11113738665445741,5.6905983950055e-05,0.18936766495416815,depth_tertile_from_neuron_pos_spi_axis0
