strength_decile,n_edges,importance_sum,importance_mean,corr_mean
1,1815,0.07506274467505064,4.1356884118485205e-05,0.05000142465601229
2,1814,0.08390688585825497,4.6255174122522035e-05,0.08856570869499897
3,1815,0.08937080881911971,4.924011505185659e-05,0.11164078490520171
4,1814,0.09458160622380199,5.213980497453252e-05,0.13150191320851928
5,1815,0.09643391622700143,5.313163428484927e-05,0.1509943054862519
6,1814,0.09995770411139931,5.510347525435464e-05,0.17112660146684033
7,1815,0.1041208174083808,5.736684154731725e-05,0.19274409086005354
8,1814,0.10905364338919848,6.011777474597491e-05,0.21728045625495915
9,1815,0.11345432140650356,6.250926799256395e-05,0.24860465078974914
10,1814,0.13405755188126467,7.390162727743366e-05,0.37040209287911685
