component_idx,selection_frequency,mean_abs_coef
11,1.0,0.15662941404361297
9,1.0,0.14956567490807926
8,0.92,0.10704466758425181
7,0.88,0.1189010345876149
20,0.88,0.10360884918099529
1,0.84,0.1044452701417586
27,0.76,0.09572457689633561
25,0.68,0.09371564544114187
34,0.52,0.09073254053179468
38,0.52,0.07999101917342384
4,0.36,0.07857014990144986
21,0.28,0.06428732032142644
17,0.24,0.07447637525729746
2,0.24,0.07430231196801505
3,0.12,0.0641126595952189
18,0.08,0.062007811039300476
10,0.08,0.058299217181745
12,0.08,0.05589521510295255
13,0.04,0.060115890192415214
5,0.04,0.05977842399471024
35,0.04,0.055892318426776055
24,0.04,0.051901980593471
14,0.04,0.04508733634283146
39,0.04,0.045019664704452254
16,0.04,0.044648513080210186
29,0.04,0.044448358905098184
30,0.04,0.042276392787851995
36,0.04,0.04151347943637009
22,0.04,0.04040002120783826
31,0.04,0.0386389089541015
26,0.04,0.035974926067663344
23,0.0,0.0440449784890244
37,0.0,0.041816000574688594
19,0.0,0.03993624087924588
15,0.0,0.03289071874089698
6,0.0,0.03085607154471668
0,0.0,0.030758553067045266
33,0.0,0.02932718074337497
28,0.0,0.028267072546450948
32,0.0,0.028248911645788216
