ablation_type,drop_fraction,n_edges_dropped,repeat_idx,base_accuracy_mean,base_accuracy_std,accuracy_mean,accuracy_std,delta_vs_base
top,0.01,182,-1,0.7904761904761904,0.07190318509781664,0.7714285714285715,0.07559289460184541,0.01904761904761898
random,0.01,182,0,0.7904761904761904,0.07190318509781664,0.8190476190476191,0.03299144395369285,-0.028571428571428692
random,0.01,182,1,0.7904761904761904,0.07190318509781664,0.7238095238095239,0.0719031850978167,0.06666666666666654
random,0.01,182,2,0.7904761904761904,0.07190318509781664,0.7619047619047619,0.03299144395369291,0.02857142857142858
random,0.01,182,3,0.7904761904761904,0.07190318509781664,0.8000000000000002,0.057142857142857106,-0.009523809523809712
random,0.01,182,4,0.7904761904761904,0.07190318509781664,0.7333333333333334,0.059476171413318096,0.05714285714285705
random,0.01,182,5,0.7904761904761904,0.07190318509781664,0.780952380952381,0.03299144395369291,0.00952380952380949
random,0.01,182,6,0.7904761904761904,0.07190318509781664,0.7238095238095238,0.059476171413318096,0.06666666666666665
random,0.01,182,7,0.7904761904761904,0.07190318509781664,0.7523809523809524,0.13502330360721737,0.03809523809523807
top,0.03,545,-1,0.7904761904761904,0.07190318509781664,0.7714285714285715,0.07559289460184541,0.01904761904761898
random,0.03,545,0,0.7904761904761904,0.07190318509781664,0.8285714285714286,0.028571428571428525,-0.03809523809523818
random,0.03,545,1,0.7904761904761904,0.07190318509781664,0.7142857142857144,0.07559289460184547,0.07619047619047603
random,0.03,545,2,0.7904761904761904,0.07190318509781664,0.7523809523809524,0.03299144395369291,0.03809523809523807
random,0.03,545,3,0.7904761904761904,0.07190318509781664,0.7904761904761907,0.016495721976846456,-2.220446049250313e-16
random,0.03,545,4,0.7904761904761904,0.07190318509781664,0.7428571428571429,0.04948716593053937,0.04761904761904756
random,0.03,545,5,0.7904761904761904,0.07190318509781664,0.8095238095238096,0.043643578047198435,-0.019047619047619202
random,0.03,545,6,0.7904761904761904,0.07190318509781664,0.7142857142857143,0.07559289460184547,0.07619047619047614
random,0.03,545,7,0.7904761904761904,0.07190318509781664,0.7619047619047619,0.11895234282663615,0.02857142857142858
top,0.05,908,-1,0.7904761904761904,0.07190318509781664,0.780952380952381,0.06598288790738577,0.00952380952380949
random,0.05,908,0,0.7904761904761904,0.07190318509781664,0.7999999999999999,0.02857142857142858,-0.00952380952380949
random,0.05,908,1,0.7904761904761904,0.07190318509781664,0.7142857142857143,0.05714285714285716,0.07619047619047614
random,0.05,908,2,0.7904761904761904,0.07190318509781664,0.7619047619047619,0.016495721976846456,0.02857142857142858
random,0.05,908,3,0.7904761904761904,0.07190318509781664,0.8095238095238096,0.03299144395369291,-0.019047619047619202
random,0.05,908,4,0.7904761904761904,0.07190318509781664,0.7428571428571429,0.04948716593053937,0.04761904761904756
random,0.05,908,5,0.7904761904761904,0.07190318509781664,0.780952380952381,0.03299144395369291,0.00952380952380949
random,0.05,908,6,0.7904761904761904,0.07190318509781664,0.7333333333333334,0.0918442929618377,0.05714285714285705
random,0.05,908,7,0.7904761904761904,0.07190318509781664,0.7619047619047619,0.06598288790738582,0.02857142857142858
