ablation_type,drop_fraction,n_edges_dropped,repeat_idx,base_accuracy_mean,base_accuracy_std,accuracy_mean,accuracy_std,delta_vs_base,mouse_id
random,0.05,908,4,0.7904761904761904,0.0719031850978166,0.7428571428571429,0.0494871659305393,0.0476190476190475,M21_1107
random,0.05,908,5,0.7904761904761904,0.0719031850978166,0.780952380952381,0.0329914439536929,0.0095238095238094,M21_1107
random,0.05,908,6,0.7904761904761904,0.0719031850978166,0.7333333333333334,0.0918442929618377,0.057142857142857,M21_1107
random,0.05,908,7,0.7904761904761904,0.0719031850978166,0.7619047619047619,0.0659828879073858,0.0285714285714285,M21_1107
top,0.01,255,-1,0.8666666666666667,0.0222222222222222,0.8814814814814814,0.033945005147821,-0.0148148148148147,M71_1024
random,0.01,255,0,0.8666666666666667,0.0222222222222222,0.8962962962962963,0.0128300059819917,-0.0296296296296295,M71_1024
random,0.01,255,1,0.8666666666666667,0.0222222222222222,0.8888888888888888,0.0801233616769775,-0.0222222222222221,M71_1024
random,0.01,255,2,0.8666666666666667,0.0222222222222222,0.8888888888888888,0.0222222222222222,-0.0222222222222221,M71_1024
random,0.01,255,3,0.8666666666666667,0.0222222222222222,0.8814814814814814,0.0714344500814292,-0.0148148148148147,M71_1024
random,0.01,255,4,0.8666666666666667,0.0222222222222222,0.8962962962962964,0.0462592444325807,-0.0296296296296296,M71_1024
random,0.01,255,5,0.8666666666666667,0.0222222222222222,0.8962962962962964,0.0256600119639833,-0.0296296296296296,M71_1024
random,0.01,255,6,0.8666666666666667,0.0222222222222222,0.9037037037037038,0.0462592444325807,-0.037037037037037,M71_1024
random,0.01,255,7,0.8666666666666667,0.0222222222222222,0.8740740740740741,0.0462592444325807,-0.0074074074074074,M71_1024
top,0.03,763,-1,0.8666666666666667,0.0222222222222222,0.9111111111111112,0.0384900179459751,-0.0444444444444444,M71_1024
random,0.03,763,0,0.8666666666666667,0.0222222222222222,0.9037037037037036,0.0128300059819917,-0.0370370370370368,M71_1024
random,0.03,763,1,0.8666666666666667,0.0222222222222222,0.9037037037037038,0.0559246995205241,-0.037037037037037,M71_1024
random,0.03,763,2,0.8666666666666667,0.0222222222222222,0.8962962962962963,0.0128300059819917,-0.0296296296296295,M71_1024
random,0.03,763,3,0.8666666666666667,0.0222222222222222,0.8666666666666667,0.058794473579213,0.0,M71_1024
random,0.03,763,4,0.8666666666666667,0.0222222222222222,0.888888888888889,0.0587944735792131,-0.0222222222222222,M71_1024
random,0.03,763,5,0.8666666666666667,0.0222222222222222,0.8962962962962964,0.033945005147821,-0.0296296296296296,M71_1024
random,0.03,763,6,0.8666666666666667,0.0222222222222222,0.9037037037037038,0.0462592444325807,-0.037037037037037,M71_1024
random,0.03,763,7,0.8666666666666667,0.0222222222222222,0.8666666666666667,0.0222222222222222,0.0,M71_1024
top,0.05,1272,-1,0.8666666666666667,0.0222222222222222,0.888888888888889,0.0587944735792131,-0.0222222222222222,M71_1024
random,0.05,1272,0,0.8666666666666667,0.0222222222222222,0.9037037037037038,0.0128300059819917,-0.037037037037037,M71_1024
random,0.05,1272,1,0.8666666666666667,0.0222222222222222,0.8962962962962963,0.0898100418739417,-0.0296296296296295,M71_1024
random,0.05,1272,2,0.8666666666666667,0.0222222222222222,0.8888888888888888,0.0222222222222222,-0.0222222222222221,M71_1024
random,0.05,1272,3,0.8666666666666667,0.0222222222222222,0.8962962962962964,0.0559246995205241,-0.0296296296296296,M71_1024
random,0.05,1272,4,0.8666666666666667,0.0222222222222222,0.8962962962962964,0.0678900102956421,-0.0296296296296296,M71_1024
random,0.05,1272,5,0.8666666666666667,0.0222222222222222,0.9111111111111112,0.0222222222222222,-0.0444444444444444,M71_1024
random,0.05,1272,6,0.8666666666666667,0.0222222222222222,0.8666666666666666,0.0587944735792131,1.1102230246251563e-16,M71_1024
random,0.05,1272,7,0.8666666666666667,0.0222222222222222,0.8592592592592593,0.0256600119639833,0.0074074074074074,M71_1024
top,0.01,1314,-1,0.9333333333333332,0.0436435780471984,0.8952380952380953,0.059476171413318,0.0380952380952379,M73_1128
random,0.01,1314,0,0.9333333333333332,0.0436435780471984,0.9333333333333332,0.0164957219768464,0.0,M73_1128
random,0.01,1314,1,0.9333333333333332,0.0436435780471984,0.9333333333333332,0.059476171413318,0.0,M73_1128
random,0.01,1314,2,0.9333333333333332,0.0436435780471984,0.8857142857142857,0.0285714285714285,0.0476190476190475,M73_1128
random,0.01,1314,3,0.9333333333333332,0.0436435780471984,0.9333333333333332,0.059476171413318,0.0,M73_1128
random,0.01,1314,4,0.9333333333333332,0.0436435780471984,0.942857142857143,0.0494871659305393,-0.0095238095238097,M73_1128
random,0.01,1314,5,0.9333333333333332,0.0436435780471984,0.8952380952380953,0.0719031850978166,0.0380952380952379,M73_1128
random,0.01,1314,6,0.9333333333333332,0.0436435780471984,0.9047619047619048,0.0329914439536929,0.0285714285714284,M73_1128
random,0.01,1314,7,0.9333333333333332,0.0436435780471984,0.8952380952380953,0.1003395595509784,0.0380952380952379,M73_1128
top,0.03,3940,-1,0.9333333333333332,0.0436435780471984,0.8857142857142857,0.0494871659305393,0.0476190476190475,M73_1128
random,0.03,3940,0,0.9333333333333332,0.0436435780471984,0.942857142857143,0.0285714285714285,-0.0095238095238097,M73_1128
random,0.03,3940,1,0.9333333333333332,0.0436435780471984,0.9333333333333332,0.059476171413318,0.0,M73_1128
random,0.03,3940,2,0.9333333333333332,0.0436435780471984,0.8952380952380952,0.0436435780471984,0.038095238095238,M73_1128
random,0.03,3940,3,0.9333333333333332,0.0436435780471984,0.9333333333333332,0.059476171413318,0.0,M73_1128
random,0.03,3940,4,0.9333333333333332,0.0436435780471984,0.9523809523809524,0.0329914439536929,-0.0190476190476192,M73_1128
random,0.03,3940,5,0.9333333333333332,0.0436435780471984,0.9047619047619048,0.059476171413318,0.0285714285714284,M73_1128
random,0.03,3940,6,0.9333333333333332,0.0436435780471984,0.9238095238095236,0.0329914439536929,0.0095238095238094,M73_1128
random,0.03,3940,7,0.9333333333333332,0.0436435780471984,0.9047619047619048,0.1003395595509784,0.0285714285714284,M73_1128
top,0.05,6567,-1,0.9333333333333332,0.0436435780471984,0.8666666666666666,0.059476171413318,0.0666666666666666,M73_1128
random,0.05,6567,0,0.9333333333333332,0.0436435780471984,0.9142857142857144,0.0,0.0190476190476189,M73_1128
random,0.05,6567,1,0.9333333333333332,0.0436435780471984,0.9333333333333332,0.059476171413318,0.0,M73_1128
random,0.05,6567,2,0.9333333333333332,0.0436435780471984,0.9047619047619048,0.0436435780471984,0.0285714285714284,M73_1128
random,0.05,6567,3,0.9333333333333332,0.0436435780471984,0.9333333333333332,0.059476171413318,0.0,M73_1128
random,0.05,6567,4,0.9333333333333332,0.0436435780471984,0.9523809523809524,0.0329914439536929,-0.0190476190476192,M73_1128
random,0.05,6567,5,0.9333333333333332,0.0436435780471984,0.9238095238095236,0.0436435780471984,0.0095238095238094,M73_1128
random,0.05,6567,6,0.9333333333333332,0.0436435780471984,0.9333333333333332,0.0436435780471984,0.0,M73_1128
random,0.05,6567,7,0.9333333333333332,0.0436435780471984,0.8952380952380953,0.0918442929618376,0.0380952380952379,M73_1128
top,0.01,2525,-1,0.9612403100775192,0.0484108371968868,0.9612403100775192,0.0484108371968868,0.0,M77_1031
random,0.01,2525,0,0.9612403100775192,0.0484108371968868,0.937984496124031,0.0134267504462703,0.0232558139534883,M77_1031
random,0.01,2525,1,0.9612403100775192,0.0484108371968868,0.945736434108527,0.0268535008925407,0.0155038759689922,M77_1031
random,0.01,2525,2,0.9612403100775192,0.0484108371968868,0.9457364341085271,0.0134267504462703,0.0155038759689921,M77_1031
random,0.01,2525,3,0.9612403100775192,0.0484108371968868,0.9534883720930232,0.0232558139534883,0.0077519379844961,M77_1031
random,0.01,2525,4,0.9612403100775192,0.0484108371968868,0.9534883720930232,0.0402802513388111,0.0077519379844961,M77_1031
random,0.01,2525,5,0.9612403100775192,0.0484108371968868,0.9689922480620154,0.0355238425965569,-0.0077519379844961,M77_1031
random,0.01,2525,6,0.9612403100775192,0.0484108371968868,0.937984496124031,0.0268535008925407,0.0232558139534883,M77_1031
random,0.01,2525,7,0.9612403100775192,0.0484108371968868,0.9612403100775192,0.0355238425965569,0.0,M77_1031
top,0.03,7573,-1,0.9612403100775192,0.0484108371968868,0.9612403100775192,0.0268535008925407,0.0,M77_1031
random,0.03,7573,0,0.9612403100775192,0.0484108371968868,0.945736434108527,0.0268535008925407,0.0155038759689922,M77_1031
random,0.03,7573,1,0.9612403100775192,0.0484108371968868,0.9379844961240308,0.0355238425965569,0.0232558139534884,M77_1031
random,0.03,7573,2,0.9612403100775192,0.0484108371968868,0.9534883720930232,0.0232558139534883,0.0077519379844961,M77_1031
