window_start,window_end,n_trials,n_neurons_total,n_neurons_removed,removed_ratio,full_accuracy_mean,full_accuracy_std,top10_ablation_accuracy_mean,top10_ablation_accuracy_std,random_drop_mean_accuracy,random_drop_std_accuracy,delta_full_minus_top10,delta_top10_minus_random_mean,ablation_rank_in_random,mouse_id
26.0,29.0,180.0,459.0,46.0,0.1002178649237472,0.95,0.0288675134594813,0.9611111111111112,0.0096225044864937,0.949722222222222,0.0063662834253881,-0.011111111111111,0.011388888888889,1.0,M21_1107
18.0,21.0,180.0,493.0,50.0,0.101419878296146,0.9944444444444444,0.0096225044864937,0.9722222222222222,0.0096225044864937,0.9741666666666668,0.0081160763461577,0.0222222222222222,-0.0019444444444445,0.5,M71_1024
18.0,21.0,180.0,1395.0,140.0,0.1003584229390681,1.0,0.0,0.9944444444444444,0.0096225044864937,0.9924999999999996,0.004515153893818,0.0055555555555555,0.0019444444444447,0.85,M73_1128
17.0,20.0,180.0,1308.0,131.0,0.1001529051987767,0.9944444444444444,0.0096225044864937,0.9944444444444444,0.0096225044864937,0.9911111111111108,0.0065980878164062,0.0,0.0033333333333335,0.85,M77_1031
21.0,24.0,180.0,343.0,35.0,0.1020408163265306,0.9722222222222222,0.0254587538608657,0.9611111111111108,0.0192450089729875,0.9669444444444444,0.0087331011977541,0.0111111111111112,-0.0058333333333334,0.2,M77_1107
18.0,21.0,180.0,1213.0,122.0,0.1005770816158285,0.9833333333333334,0.0166666666666666,0.9666666666666668,0.0166666666666666,0.9702777777777778,0.0086958199124991,0.0166666666666667,-0.0036111111111111,0.45,M78_1017
31.0,34.0,180.0,748.0,75.0,0.1002673796791443,0.6555555555555556,0.0481125224324688,0.6222222222222222,0.0346944333244355,0.6302777777777778,0.0194527968694191,0.0333333333333333,-0.0080555555555555,0.4,M79_1128
19.0,22.0,180.0,578.0,58.0,0.1003460207612456,0.9722222222222222,0.0192450089729875,0.9611111111111112,0.0096225044864937,0.9636111111111112,0.0089171699225819,0.011111111111111,-0.0024999999999999,0.55,M91_1017
