mouse_id,Condition,Entropy,Mean_RSM_Sim,Mean_Correlation,Strong_Correlation,Weak_Correlation,Strong_Weak_Gap,Participants_Ratio,Gini_Mean,Gini_STD,PR_Mean,PR_STD,PR_Norm_Mean,PR_Norm_STD,Effective_Dim_PR,Effective_Dim_eRank,Effective_Dim_90Var,Sig_Mean_Corr,Noise_Mean_Corr,SigAbs_Mean_Corr,NoiseAbs_Mean_Corr,SigNoise_Coupling_r,Geom_MeanNorm,Geom_AngleDeg,Geom_VarParallel,Geom_VarOrthogonal,Geom_OrthParallelRatio,Geom_Anisotropy,Geom_Lambda1,Geom_Lambda2
M21_1107,Divergent,3.42368990796664,0.561250052342962,0.2216782372901086,0.42253478502188785,0.08260654723865016,0.33992823778323766,1.5199352481378565,0.5681006101207929,0.0720233807242942,26.434248632850142,10.559432591881636,0.1383992075018332,0.0552849873920504,10.338157381725612,16.092748731408864,16.0,0.8095752990666489,0.2195836429616109,0.8095752990666489,0.2379258774057029,0.1857173819969777,0.9306626466535932,29.28436578701508,0.1418846393439961,0.6479913255761772,4.567029444255551,0.2227591502860663,0.1811271605059628,0.0990991832580503
M21_1107,Convergent,3.8068898014010704,0.560720275657735,0.20641223265814082,0.40299276679051843,0.07336023555367881,0.3296325312368396,2.1405843071169595,0.6346064649619417,0.1014290295250119,23.137546751403573,8.78963517110922,0.1211389882272438,0.0460190323094723,10.911933248776991,16.394667408457813,17.0,0.7769141930600432,0.1799172862918089,0.7769141930600432,0.2163574739592577,0.1540223372440252,0.9756672352183596,79.24377327987004,0.0972434773687248,0.6857286049738024,7.051666842050759,0.1884125270446943,0.1518606235997788,0.1259114107700048
M21_1107,Random,3.5031115375569377,0.6674495828585564,0.24579188933181656,0.4500374118768423,0.06616639389239337,0.38387101798444895,2.129898776140871,0.5636040505515885,0.0994201206953305,30.28244972730605,11.972833159150314,0.1585468572110264,0.0626849903620435,11.059593933955734,16.999452631343647,17.0,0.747265613574682,0.2188906794674824,0.7481881518399084,0.2585615629984905,0.1998572827211242,1.1839842585897706,27.612839530436403,0.124594036464134,0.6097120894959023,4.893589667644504,0.2063622466364692,0.1559899166331838,0.1060938248505208
M71_1024,Divergent,3.8497087957384704,0.5828616488092568,0.17783450339038742,0.37783917296650604,0.04549640432727778,0.3323427686392283,1.5856371534953857,0.66082997961832,0.0622264723174192,18.67376165111256,9.467509808599411,0.0826272639429759,0.0418916363212363,8.55316274431452,15.272861187557943,17.0,0.8105374158937861,0.1318020061254969,0.8105374158937861,0.2032405449760571,0.1799460297035279,1.6115857046871678,84.04882995062607,0.1772969461692502,1.7263400473864718,9.736998209369863,0.2606287631342667,0.5074185222483925,0.3138394464241748
M71_1024,Convergent,4.043868446767421,0.5416909800385925,0.17778559541083366,0.38064000564595263,0.044535613812218676,0.336104391833734,1.3690233945230734,0.6872907563650519,0.0621172094746286,17.671932760424692,7.145647514486902,0.078194392745242,0.0316179093561367,9.054042593384342,15.310335689693582,16.0,0.792254971865223,0.0829308800367642,0.792254971865223,0.1701566166028243,0.2658435251437805,1.5452400582687165,67.51730043937425,0.2841927365268174,1.8403521913291403,6.475718604965129,0.2430758618357007,0.5281625345599346,0.349051972180594
M71_1024,Random,3.7369135475700754,0.6121628450269122,0.15661570553301934,0.3543040314803662,0.032600220454872667,0.32170381102549356,3.1884204989367455,0.702907453069802,0.065617610997983,20.249246969825144,8.172991462367124,0.0895984379195802,0.0361636790370226,10.16716945306418,15.869096061402171,16.0,0.7104837593985845,0.1202106563219747,0.7104837593985845,0.2010413424892659,0.1485315778470399,1.6686021226206436,89.50728055588523,0.2165797293619467,1.6927021926934762,7.815607664080267,0.2019281848688001,0.3943000563992008,0.2837517228948923
M73_1128,Divergent,3.6920334799084666,0.5347224014419447,0.17153139213500068,0.3429309062491119,0.04410459464371005,0.29882631160540185,2.348027083162525,0.6153898454140515,0.0720368666650642,56.53679019762297,22.500056089745254,0.1102081680265555,0.0438597584595424,12.591538594859372,19.74070904392001,21.0,0.7847778624565781,0.0982557476954782,0.7855317537244626,0.1499590388371554,0.1467693084738729,1.6025642713735668,74.49837984744187,0.1619463299619012,2.0591777422251907,12.715186214450853,0.2071933939409066,0.4737375947299185,0.2309495129742333
M73_1128,Convergent,3.393173078998309,0.5730560610401115,0.18731436353374686,0.36051678666321335,0.05351691911071059,0.30699986755250275,2.0019354919480503,0.585041996496892,0.066052551521365,68.38707183712022,21.055980198136595,0.1333081322361017,0.0410447957078686,15.912656069853156,21.91145097573806,21.0,0.7990379952540084,0.0832105524377686,0.7990386501005617,0.1536178250879386,0.1592735264872416,1.7950562731835218,79.49885944827744,0.1657997958097139,2.1996281413106544,13.266772317511595,0.1379958890345882,0.3360198996929677,0.2549926219162821
M73_1128,Random,3.485461299202891,0.6646790138128604,0.1507558531607294,0.35214355961689076,0.01294302360801249,0.3392005360088783,3.885557451647282,0.6641442037850662,0.0516087419244955,40.26505022401,24.379447920679667,0.0784893766549902,0.0475232902937225,8.81395092781155,16.120770091976716,19.0,0.5886642295906025,0.0557834070098078,0.5949557526358807,0.1640303980921113,0.1441963436125461,1.823257783714212,64.14301553305215,0.2081321822480113,1.5502830966641556,7.448550627357483,0.2775170182071871,0.5023428168849317,0.2238464061122032
M77_1031,Divergent,3.7307197190979675,0.4853383647568439,0.18836946223426196,0.352668643281887,0.060581458575321205,0.2920871847065658,1.7739637361189848,0.6432451807643301,0.0892851137665168,64.870757837522,24.294801674664985,0.0912387592651505,0.0341699039024823,16.35797393434191,24.21032974072155,24.0,0.8059807380979301,0.138185418575851,0.8059807380979301,0.1845421092471621,0.1337316738047551,2.0416238922880243,54.99054705858963,0.4637835931111487,3.896717568601961,8.402016859746235,0.1467291385254112,0.6550462118306337,0.4931979704725444
