window_start,window_end,n_trials,n_neurons,n_splits,accuracy_mean,accuracy_std,shuffle_accuracy_mean,shuffle_accuracy_std,accuracy_minus_shuffle,recall_Divergent,recall_Convergent,recall_Random,mouse_id
26.0,29.0,180.0,459.0,3.0,0.95,0.0288675134594813,0.3663888888888889,0.0504012076713066,0.5836111111111111,1.0,0.9545454545454546,0.8285714285714286,M21_1107
18.0,21.0,180.0,493.0,3.0,0.9944444444444444,0.0096225044864937,0.3515277777777778,0.0434356214764115,0.6429166666666667,1.0,1.0,0.9777777777777776,M71_1024
18.0,21.0,180.0,1395.0,3.0,1.0,0.0,0.3765277777777777,0.0480300024283782,0.6234722222222222,1.0,1.0,1.0,M73_1128
17.0,20.0,180.0,1308.0,3.0,0.9944444444444444,0.0096225044864937,0.3538888888888888,0.0492938421542419,0.6405555555555555,1.0,0.9864864864864864,1.0,M77_1031
21.0,24.0,180.0,343.0,3.0,0.9722222222222222,0.0254587538608657,0.3358333333333333,0.0466502141666899,0.6363888888888889,0.967741935483871,1.0,0.9454545454545454,M77_1107
18.0,21.0,180.0,1213.0,3.0,0.9833333333333334,0.0166666666666666,0.3669444444444444,0.0378253010956373,0.616388888888889,0.9876543209876544,1.0,0.9523809523809524,M78_1017
31.0,34.0,180.0,748.0,3.0,0.6555555555555556,0.0481125224324688,0.3413888888888888,0.043924126645286,0.3141666666666667,0.6290322580645161,0.7142857142857143,0.6181818181818182,M79_1128
19.0,22.0,180.0,578.0,3.0,0.9722222222222222,0.0192450089729875,0.3501388888888889,0.0510647550838724,0.6220833333333333,0.9722222222222222,1.0,0.9333333333333332,M91_1017
