window_start,window_end,n_trials,n_neurons_used,neuron_mode,n_features_fc,n_components_svd,n_splits,accuracy_mean,accuracy_std,shuffle_accuracy_mean,shuffle_accuracy_std,accuracy_minus_shuffle,activity_decoder_accuracy_ref,fc_minus_activity_ref,recall_Divergent,recall_Convergent,recall_Random,mouse_id
10,30,105,191,rr_union,18145,40,3,0.5523809523809523,0.0824786098842322,0.3387301587301588,0.0329614093323346,0.2136507936507934,0.95,-0.3976190476190477,0.2,0.4857142857142857,0.9714285714285714,M21_1107
10,30,135,226,rr_union,25425,40,3,0.8444444444444444,0.0888888888888889,0.3385185185185184,0.0340923933208328,0.505925925925926,0.9944444444444444,-0.15,0.7555555555555555,0.8444444444444444,0.9333333333333332,M71_1024
10,30,105,513,rr_union,131328,40,3,0.5904761904761905,0.1674132936309232,0.3307936507936509,0.0204619927611459,0.2596825396825395,1.0,-0.4095238095238095,0.3428571428571428,1.0,0.4285714285714285,M73_1128
10,30,129,711,rr_union,252405,40,3,0.8604651162790699,0.0930232558139534,0.3304909560723515,0.0251383910154122,0.5299741602067183,0.9944444444444444,-0.1339793281653746,0.627906976744186,0.9767441860465116,0.9767441860465116,M77_1031
10,30,165,173,rr_union,14878,40,3,0.6606060606060606,0.0555463720600708,0.3347474747474747,0.0344197729644991,0.3258585858585859,0.9722222222222222,-0.3116161616161615,0.1818181818181818,0.8909090909090909,0.9090909090909092,M77_1107
10,30,126,726,rr_union,263175,40,3,0.7857142857142857,0.0629940788348712,0.3410052910052911,0.0273727872560493,0.4447089947089946,0.9833333333333334,-0.1976190476190477,0.8571428571428571,0.5,1.0,M78_1017
10,30,165,365,rr_union,66430,40,3,0.4545454545454545,0.0314918328648886,0.3317171717171716,0.0424371777065552,0.1228282828282829,0.6555555555555556,-0.201010101010101,0.3818181818181818,0.509090909090909,0.4727272727272727,M79_1128
10,30,135,235,rr_union,27495,40,3,0.6592592592592593,0.1140355875432641,0.3333333333333333,0.0360270987885745,0.325925925925926,0.9722222222222222,-0.3129629629629629,0.8666666666666667,0.2444444444444444,0.8666666666666667,M91_1017
