mouse_id,n_items,importance_mean,importance_sem,weak_tail_importance_sum,strong_tail_importance_sum,strong_minus_weak,top10_mean_importance
M21_1107,18145,5.511160099200565e-05,2.00015302267748e-07,0.15896963053330487,0.2475118732877509,0.08854224275444603,0.00010915921738372673
M71_1024,25425,3.93313667649939e-05,1.1855294760734164e-07,0.1557689168045393,0.2758668845794785,0.1200979677749392,8.011267340046569e-05
M73_1128,131328,7.614522417153949e-06,1.0461342369324105e-08,0.16796100706143943,0.24654153018709718,0.07858052312565775,1.5166825145538709e-05
M77_1031,252405,3.9618866504229165e-06,3.8274966334631405e-09,0.16095462413418915,0.2465036679866465,0.08554904385245735,7.97238572717724e-06
M77_1107,14878,6.7213335125685e-05,2.0694423778832604e-07,0.16554784996725452,0.240346150175904,0.07479830020864947,0.00011669909698300274
M78_1017,263175,3.7997530160539427e-06,2.841764943223246e-09,0.16894038681574902,0.23929411660057726,0.07035372978482823,6.6813706870179835e-06
M79_1128,66430,1.5053439710973195e-05,2.209211905749245e-08,0.18107057695608486,0.21901255693906835,0.03794197998298349,2.640456847642021e-05
M91_1017,27495,3.637024913620557e-05,9.019008911565749e-08,0.1731589485561495,0.23247224819541404,0.059313299639264544,6.643677844628937e-05
