mouse_id,Condition,Decile_Index,Mean_Correlation,Noise_Mean_Corr,Corr_Delta_vs_D1,Noise_Delta_vs_D1
M73_1128,Divergent,1,0.04410459464371,-0.1731591455165004,0.0,0.0
M73_1128,Divergent,2,0.0855526001878893,-0.0697694274575106,0.0414480055441793,0.1033897180589898
M73_1128,Divergent,3,0.11138239590959,-0.0147892730689014,0.06727780126588,0.1583698724475989
M73_1128,Divergent,4,0.1335707733154253,0.0299163060712549,0.0894661786717152,0.2030754515877554
M73_1128,Divergent,5,0.1540290185889384,0.0715154534821111,0.1099244239452283,0.2446745989986115
M73_1128,Divergent,6,0.1744916533924674,0.1123931100893159,0.1303870587487574,0.2855522556058164
M73_1128,Divergent,7,0.1963096842654452,0.1539607442961006,0.1522050896217352,0.327119889812601
M73_1128,Divergent,8,0.220773267038993,0.200483057005377,0.176668672395283,0.3736422025218775
M73_1128,Divergent,9,0.2521882203528416,0.2616226686576374,0.2080836257091315,0.4347818141741378
M73_1128,Divergent,10,0.3429309062491119,0.4104201922869016,0.2988263116054018,0.583579337803402
M73_1128,Convergent,1,0.0535169191107105,-0.2072634190999615,0.0,0.0
M73_1128,Convergent,2,0.099274953273273,-0.1012692495706081,0.0457580341625624,0.1059941695293534
M73_1128,Convergent,3,0.1267230538691365,-0.041076866698057,0.0732061347584259,0.1661865524019045
M73_1128,Convergent,4,0.149686523106368,0.0085219154202606,0.0961696039956574,0.2157853345202222
M73_1128,Convergent,5,0.1707250664913771,0.0539489016361508,0.1172081473806665,0.2612123207361124
M73_1128,Convergent,6,0.191612183816293,0.0985637518583695,0.1380952647055824,0.3058271709583311
M73_1128,Convergent,7,0.2134167013801034,0.1448988561570793,0.1598997822693928,0.3521622752570409
M73_1128,Convergent,8,0.2378819657245096,0.1968906333854813,0.184365046613799,0.4041540524854428
M73_1128,Convergent,9,0.2698089517122234,0.2637508473491536,0.2162920326015128,0.4710142664491151
M73_1128,Convergent,10,0.3605167866632133,0.4151791784521852,0.3069998675525027,0.6224425975521468
M73_1128,Random,1,0.0129430236080124,-0.2622154250782336,0.0,0.0
M73_1128,Random,2,0.0504069491683432,-0.1526068359426435,0.0374639255603308,0.10960858913559
M73_1128,Random,3,0.0767717881780774,-0.089978515409886,0.0638287645700649,0.1722369096683475
M73_1128,Random,4,0.1012353060230559,-0.0356134656304845,0.0882922824150434,0.226601959447749
M73_1128,Random,5,0.1256754874095604,0.0165484841140118,0.1127324638015479,0.2787639091922455
M73_1128,Random,6,0.1509209621656072,0.0684291515763367,0.1379779385575947,0.3306445766545703
M73_1128,Random,7,0.1778343932879426,0.1242236190243109,0.1648913696799301,0.3864390441025445
M73_1128,Random,8,0.20936152696882,0.1875053020348364,0.1964185033608075,0.44972072711307
M73_1128,Random,9,0.2502884484758723,0.2670943713806568,0.2373454248678597,0.5293097964588904
M73_1128,Random,10,0.3521435596168907,0.4344923105400927,0.3392005360088783,0.6967077356183263
M91_1017,Divergent,1,0.1174854157643702,-0.0683178355048736,0.0,0.0
M91_1017,Divergent,2,0.166651642384183,0.0737079881610243,0.0491662266198128,0.1420258236658979
M91_1017,Divergent,3,0.1951325339584348,0.1449963654668094,0.0776471181940646,0.213314200971683
M91_1017,Divergent,4,0.2186861057813724,0.2015535883624075,0.1012006900170022,0.2698714238672812
M91_1017,Divergent,5,0.242040225327789,0.2510315221107795,0.1245548095634188,0.3193493576156532
M91_1017,Divergent,6,0.2641884540810629,0.2997980658635938,0.1467030383166926,0.3681159013684675
M91_1017,Divergent,7,0.2885597957185614,0.3507038316373127,0.1710743799541911,0.4190216671421863
M91_1017,Divergent,8,0.3169960989359607,0.4050779016307765,0.1995106831715905,0.4733957371356502
M91_1017,Divergent,9,0.3533583611806901,0.4698514319360262,0.2358729454163199,0.5381692674408999
M91_1017,Divergent,10,0.4522324469867259,0.6054457625978866,0.3347470312223557,0.6737635981027603
M91_1017,Convergent,1,0.1105654347778127,-0.1543381874748844,0.0,0.0
M91_1017,Convergent,2,0.1632804170975285,-0.0200611133269525,0.0527149823197157,0.1342770741479319
M91_1017,Convergent,3,0.1948107735618288,0.0545738810108383,0.084245338784016,0.2089120684857228
M91_1017,Convergent,4,0.2196878834526419,0.1141204915695887,0.1091224486748292,0.2684586790444732
M91_1017,Convergent,5,0.2432913097473599,0.1685360233168438,0.1327258749695472,0.3228742107917283
M91_1017,Convergent,6,0.2669847504392124,0.2213045438278863,0.1564193156613996,0.3756427313027708
M91_1017,Convergent,7,0.2910525453847491,0.27588158849137,0.1804871106069363,0.4302197759662545
M91_1017,Convergent,8,0.3177396500151299,0.3358991964742938,0.2071742152373171,0.4902373839491782
M91_1017,Convergent,9,0.3529203568394709,0.4126494497216429,0.2423549220616581,0.5669876371965274
M91_1017,Convergent,10,0.4497951738195595,0.5666822965493629,0.3392297390417467,0.7210204840242473
M91_1017,Random,1,0.0946161192151643,-0.2070760514220809,0.0,0.0
M91_1017,Random,2,0.1477430359398797,-0.0749392060022113,0.0531269167247153,0.1321368454198695
M91_1017,Random,3,0.1809831513821852,0.0047567092786543,0.0863670321670208,0.2118327607007352
M91_1017,Random,4,0.2090906906598172,0.0741060356597683,0.1144745714446528,0.2811820870818492
M91_1017,Random,5,0.2349593870628306,0.1396832024844838,0.1403432678476662,0.3467592539065647
M91_1017,Random,6,0.2601730986581594,0.2034487459510437,0.165556979442995,0.4105247973731246
M91_1017,Random,7,0.2865682452222242,0.2669840952792741,0.1919521260070598,0.474060146701355
M91_1017,Random,8,0.3158149356183487,0.3375455844088488,0.2211988164031843,0.5446216358309297
M91_1017,Random,9,0.3545732107465402,0.4226278891610992,0.2599570915313758,0.6297039405831801
M91_1017,Random,10,0.4562937069068519,0.5815923783615009,0.3616775876916875,0.7886684297835818
