mouse_id,Condition,Network_Type,Value,Metric
M77_1031,Convergent,weak_threshold,0.792773168822634,local_efficiency
M77_1031,Random,strong_threshold,0.7387210948485798,local_efficiency
M77_1031,Random,weak_threshold,0.831548133235485,local_efficiency
M77_1031,Divergent,strong_threshold,0.6553264993767163,avg_clustering
M77_1031,Divergent,weak_threshold,0.462265277731546,avg_clustering
M77_1031,Convergent,strong_threshold,0.6645481296780267,avg_clustering
M77_1031,Convergent,weak_threshold,0.585546365664157,avg_clustering
M77_1031,Random,strong_threshold,0.6322980453857229,avg_clustering
M77_1031,Random,weak_threshold,0.66309626647097,avg_clustering
M77_1107,Divergent,strong_threshold,0.2004082409950006,efficiency
M77_1107,Divergent,weak_threshold,0.5299099341309382,efficiency
M77_1107,Convergent,strong_threshold,0.2452353746983108,efficiency
M77_1107,Convergent,weak_threshold,0.5064748846171117,efficiency
M77_1107,Random,strong_threshold,0.212871353676556,efficiency
M77_1107,Random,weak_threshold,0.5934601424922704,efficiency
M77_1107,Divergent,strong_threshold,0.5503227675147969,modularity
M77_1107,Divergent,weak_threshold,0.142076197675115,modularity
M77_1107,Convergent,strong_threshold,0.486781414365549,modularity
M77_1107,Convergent,weak_threshold,0.1864797304760245,modularity
M77_1107,Random,strong_threshold,0.4697031013194823,modularity
M77_1107,Random,weak_threshold,0.1231735588012404,modularity
M77_1107,Divergent,strong_threshold,0.7204427450660839,local_efficiency
M77_1107,Divergent,weak_threshold,0.6018109853275723,local_efficiency
M77_1107,Convergent,strong_threshold,0.7269316286270882,local_efficiency
M77_1107,Convergent,weak_threshold,0.6561821215252257,local_efficiency
M77_1107,Random,strong_threshold,0.7499736311206882,local_efficiency
M77_1107,Random,weak_threshold,0.7587626736449711,local_efficiency
M77_1107,Divergent,strong_threshold,0.636881691684647,avg_clustering
M77_1107,Divergent,weak_threshold,0.3335483144949491,avg_clustering
M77_1107,Convergent,strong_threshold,0.6494039732086864,avg_clustering
M77_1107,Convergent,weak_threshold,0.4488223394275443,avg_clustering
M77_1107,Random,strong_threshold,0.6603958497727025,avg_clustering
M77_1107,Random,weak_threshold,0.522605808930381,avg_clustering
M78_1017,Divergent,strong_threshold,0.2583291128930143,efficiency
M78_1017,Divergent,weak_threshold,0.5668876856337672,efficiency
M78_1017,Convergent,strong_threshold,0.2949686656081305,efficiency
M78_1017,Convergent,weak_threshold,0.5740457870238435,efficiency
M78_1017,Random,strong_threshold,0.3103965042273157,efficiency
M78_1017,Random,weak_threshold,0.561838447167604,efficiency
M78_1017,Divergent,strong_threshold,0.2896492050249641,modularity
M78_1017,Divergent,weak_threshold,0.1040558144268612,modularity
M78_1017,Convergent,strong_threshold,0.3399014052297697,modularity
M78_1017,Convergent,weak_threshold,0.0844229797718889,modularity
M78_1017,Random,strong_threshold,0.3233930589829592,modularity
M78_1017,Random,weak_threshold,0.095787206862893,modularity
M78_1017,Divergent,strong_threshold,0.75761813143834,local_efficiency
M78_1017,Divergent,weak_threshold,0.7142685023113122,local_efficiency
M78_1017,Convergent,strong_threshold,0.7648178615810324,local_efficiency
M78_1017,Convergent,weak_threshold,0.7690392019543333,local_efficiency
M78_1017,Random,strong_threshold,0.7422582907824331,local_efficiency
M78_1017,Random,weak_threshold,0.7559311235245031,local_efficiency
M78_1017,Divergent,strong_threshold,0.6504619161051229,avg_clustering
M78_1017,Divergent,weak_threshold,0.4286403570695968,avg_clustering
M78_1017,Convergent,strong_threshold,0.6434698135015043,avg_clustering
M78_1017,Convergent,weak_threshold,0.5380819170703119,avg_clustering
M78_1017,Random,strong_threshold,0.6099995152990274,avg_clustering
M78_1017,Random,weak_threshold,0.514068564136038,avg_clustering
M79_1128,Divergent,strong_threshold,0.3913492899795814,efficiency
M79_1128,Divergent,weak_threshold,0.2732462742736113,efficiency
