mouse_id,Condition,Network_Type,Value,Metric
M77_1107,Random,weak,0.4147024745936669,local_efficiency
M77_1107,Divergent,strong,0.6454799287139551,avg_clustering
M77_1107,Divergent,weak,0.0941523657642692,avg_clustering
M77_1107,Convergent,strong,0.6344923634030413,avg_clustering
M77_1107,Convergent,weak,0.2805901168731409,avg_clustering
M77_1107,Random,strong,0.6682085692068296,avg_clustering
M77_1107,Random,weak,0.2751804553609172,avg_clustering
M78_1017,Divergent,strong,0.3233424889288905,efficiency
M78_1017,Divergent,weak,0.5072543617999794,efficiency
M78_1017,Convergent,strong,0.3498065021015115,efficiency
M78_1017,Convergent,weak,0.5093793736743051,efficiency
M78_1017,Random,strong,0.3436137777238117,efficiency
M78_1017,Random,weak,0.4854934929234653,efficiency
M78_1017,Divergent,strong,0.2526985386792084,modularity
M78_1017,Divergent,weak,0.1600811847707984,modularity
M78_1017,Convergent,strong,0.2736623772004504,modularity
M78_1017,Convergent,weak,0.1498208971920564,modularity
M78_1017,Random,strong,0.2878641325634557,modularity
M78_1017,Random,weak,0.1449831760519042,modularity
M78_1017,Divergent,strong,0.779019957145489,local_efficiency
M78_1017,Divergent,weak,0.5335959724570634,local_efficiency
M78_1017,Convergent,strong,0.7818215445010843,local_efficiency
M78_1017,Convergent,weak,0.650464828760452,local_efficiency
M78_1017,Random,strong,0.7523787134536962,local_efficiency
M78_1017,Random,weak,0.5849768255301317,local_efficiency
M78_1017,Divergent,strong,0.6596857605186364,avg_clustering
M78_1017,Divergent,weak,0.2666568958217008,avg_clustering
M78_1017,Convergent,strong,0.649815710787514,avg_clustering
M78_1017,Convergent,weak,0.3902758076435626,avg_clustering
M78_1017,Random,strong,0.6139704316035722,avg_clustering
M78_1017,Random,weak,0.3180165703774644,avg_clustering
M79_1128,Divergent,strong,0.3047963843071663,efficiency
M79_1128,Divergent,weak,0.3957135330424718,efficiency
M79_1128,Convergent,strong,0.282894758535638,efficiency
M79_1128,Convergent,weak,0.3775151788851981,efficiency
M79_1128,Random,strong,0.3028096886805473,efficiency
M79_1128,Random,weak,0.4040844999750855,efficiency
M79_1128,Divergent,strong,0.3797856948759189,modularity
M79_1128,Divergent,weak,0.1882576644696487,modularity
M79_1128,Convergent,strong,0.3722108295725802,modularity
M79_1128,Convergent,weak,0.1914423928608117,modularity
M79_1128,Random,strong,0.3432655658819293,modularity
M79_1128,Random,weak,0.1723970379654948,modularity
M79_1128,Divergent,strong,0.734494007954443,local_efficiency
M79_1128,Divergent,weak,0.3064153572100349,local_efficiency
M79_1128,Convergent,strong,0.7281748199261862,local_efficiency
M79_1128,Convergent,weak,0.2285542434594706,local_efficiency
M79_1128,Random,strong,0.7536081952833756,local_efficiency
M79_1128,Random,weak,0.2696979664924383,local_efficiency
M79_1128,Divergent,strong,0.620578329264686,avg_clustering
M79_1128,Divergent,weak,0.1559250498820527,avg_clustering
M79_1128,Convergent,strong,0.6107428004857346,avg_clustering
M79_1128,Convergent,weak,0.1080473948029858,avg_clustering
M79_1128,Random,strong,0.6452372503640756,avg_clustering
M79_1128,Random,weak,0.140012008783378,avg_clustering
M91_1017,Divergent,strong,0.2287621991877599,efficiency
M91_1017,Divergent,weak,0.3406558768260958,efficiency
M91_1017,Convergent,strong,0.2443339481637718,efficiency
M91_1017,Convergent,weak,0.3760623143601776,efficiency
M91_1017,Random,strong,0.2050824536640274,efficiency
M91_1017,Random,weak,0.3922955688912801,efficiency
M91_1017,Divergent,strong,0.3351043712616718,modularity
M91_1017,Divergent,weak,0.19585158135386,modularity
M91_1017,Convergent,strong,0.3219668558740086,modularity
M91_1017,Convergent,weak,0.2223972866862018,modularity
M91_1017,Random,strong,0.3410740429985868,modularity
M91_1017,Random,weak,0.2020050575355584,modularity
M91_1017,Divergent,strong,0.6451579669167364,local_efficiency
M91_1017,Divergent,weak,0.4209894724726429,local_efficiency
M91_1017,Convergent,strong,0.6563659805809069,local_efficiency
M91_1017,Convergent,weak,0.3345294286999029,local_efficiency
M91_1017,Random,strong,0.5940184108333377,local_efficiency
M91_1017,Random,weak,0.4177163568189279,local_efficiency
M91_1017,Divergent,strong,0.5526875589286193,avg_clustering
M91_1017,Divergent,weak,0.2697586741984727,avg_clustering
M91_1017,Convergent,strong,0.5617765386728647,avg_clustering
M91_1017,Convergent,weak,0.205935655514395,avg_clustering
M91_1017,Random,strong,0.5105240752102472,avg_clustering
M91_1017,Random,weak,0.2744035051481899,avg_clustering
