overlap_category,n_neurons_category,n_important_neurons_total,observed_important_count,expected_important_count,observed_important_fraction,expected_important_fraction,enrichment_ratio,log2_enrichment,p_over,p_under,p_two_sided,p_fdr_bh,mouse_id
Shared_Core,73,39,8,14.905759162303587,0.2051282051281998,0.3821989528795791,0.5367053038271763,-0.8977979497032881,0.9976714981751984,0.0075846434008485,0.0151692868016971,0.0151692868016971,M21_1107
Condition_Biased,118,39,31,24.09424083769621,0.7948717948717745,0.6178010471204156,1.286614515425966,0.3635798701979846,0.0075846434008485,0.9976714981751984,0.0151692868016971,0.0151692868016971,M21_1107
Shared_Core,97,46,19,19.74336283185832,0.4130434782608606,0.4292035398230069,0.9623487225436846,-0.0553683223852608,0.6593358508036726,0.4695369954343583,0.9390739908687166,0.9390739908687166,M71_1024
Condition_Biased,129,46,27,26.25663716814148,0.5869565217391176,0.5707964601769886,1.0283114256806882,0.0402772530982946,0.4695369954343583,0.6593358508036726,0.9390739908687166,0.9390739908687166,M71_1024
Shared_Core,153,103,36,30.71929824561397,0.3495145631067927,0.2982456140350871,1.1719017704129664,0.2288516471727756,0.1252627460681843,0.916946467698385,0.2505254921363687,0.2505254921363687,M73_1128
Condition_Biased,360,103,67,72.28070175438582,0.6504854368931976,0.7017543859649109,0.9269417475714876,-0.1094494174479157,0.916946467698385,0.1252627460681843,0.2505254921363687,0.2505254921363687,M73_1128
Shared_Core,269,143,66,54.102672292545634,0.4615384615384583,0.3783403656821373,1.2199027738028885,0.2867661696421599,0.014462166075853,0.9912136845553892,0.028924332151706,0.028924332151706,M77_1031
Condition_Biased,442,143,77,88.89732770745417,0.5384615384615347,0.6216596343178613,0.8661677688813028,-0.2072816058551539,0.9912136845553892,0.014462166075853,0.028924332151706,0.028924332151706,M77_1031
Shared_Core,79,35,17,15.98265895953748,0.4857142857142718,0.456647398843928,1.0636528028909558,0.0890273037647726,0.4209593855854731,0.7183978322965378,0.8419187711709463,0.8419187711709463,M77_1107
Condition_Biased,94,35,18,19.01734104046232,0.5142857142856996,0.5433526011560662,0.9465045592687532,-0.0793186395434496,0.7183978322965378,0.4209593855854731,0.8419187711709463,0.8419187711709463,M77_1107
Shared_Core,322,146,69,64.75482093663902,0.4726027397260242,0.4435261707988974,1.0655577299388834,0.0916087577790776,0.2422862993409608,0.8118650916279393,0.4845725986819216,0.4845725986819216,M78_1017
Condition_Biased,404,146,77,81.24517906336077,0.527397260273969,0.5564738292011011,0.9477485419757772,-0.0774237629410246,0.8118650916279393,0.2422862993409608,0.4845725986819216,0.4845725986819216,M78_1017
Shared_Core,211,73,42,42.19999999999988,0.5753424657534169,0.5780821917808203,0.9952606635053768,-0.0068536710410662,0.5750933476249933,0.5300052083784534,1.0,1.0,M79_1128
Condition_Biased,154,73,31,30.799999999999912,0.4246575342465695,0.4219178082191769,1.00649350649111,0.0093378645792984,0.5300052083784534,0.5750933476249933,1.0,1.0,M79_1128
Shared_Core,113,47,20,22.599999999999905,0.425531914893608,0.4808510638297852,0.8849557522105339,-0.1763227726400975,0.844196026631074,0.2468877600317107,0.4937755200634214,0.4937755200634214,M91_1017
Condition_Biased,122,47,27,24.399999999999896,0.5744680851063707,0.5191489361702105,1.10655737704703,0.1460782594876525,0.2468877600317107,0.844196026631074,0.4937755200634214,0.4937755200634214,M91_1017
