component_idx,base_accuracy_mean,base_accuracy_std,ablation_accuracy_mean,ablation_accuracy_std,delta_vs_base,selection_frequency,mean_abs_coef
1,0.8814814814814814,0.051320023927966744,0.7185185185185184,0.02566001196398334,0.16296296296296298,1.0,0.14916416418389894
4,0.8814814814814814,0.051320023927966744,0.7185185185185184,0.10501812502783577,0.16296296296296298,1.0,0.13199579026048236
6,0.8814814814814814,0.051320023927966744,0.7999999999999999,0.03849001794597504,0.08148148148148149,1.0,0.09378834156540929
7,0.8814814814814814,0.051320023927966744,0.8074074074074075,0.04625924443258073,0.07407407407407396,0.96,0.09434333370157182
15,0.8814814814814814,0.051320023927966744,0.837037037037037,0.051320023927966744,0.0444444444444444,1.0,0.08140646100580488
5,0.8814814814814814,0.051320023927966744,0.837037037037037,0.03394500514782103,0.0444444444444444,0.68,0.06432645564717808
13,0.8814814814814814,0.051320023927966744,0.8592592592592592,0.08981004187394179,0.022222222222222254,1.0,0.07944247089183817
24,0.8814814814814814,0.051320023927966744,0.8814814814814814,0.051320023927966744,0.0,0.48,0.06015160007731887
11,0.8814814814814814,0.051320023927966744,0.8888888888888888,0.06666666666666671,-0.007407407407407418,0.92,0.07503989860673116
8,0.8814814814814814,0.051320023927966744,0.9111111111111111,0.022222222222222254,-0.029629629629629672,0.4,0.05734379247094071
