repeat_idx,accuracy_mean
0,0.34074074074074073
1,0.3259259259259259
2,0.362962962962963
3,0.3333333333333333
4,0.3185185185185185
5,0.3333333333333333
6,0.3703703703703704
7,0.3703703703703704
8,0.30370370370370364
9,0.32592592592592595
10,0.3259259259259259
11,0.3185185185185185
12,0.34814814814814815
13,0.36296296296296293
14,0.35555555555555557
15,0.28888888888888886
16,0.34074074074074073
17,0.34074074074074073
18,0.4222222222222222
19,0.38518518518518513
20,0.40740740740740744
21,0.2518518518518518
22,0.3037037037037037
23,0.3037037037037037
24,0.34074074074074073
25,0.3259259259259259
26,0.36296296296296293
27,0.3185185185185185
28,0.3333333333333333
29,0.3333333333333333
