ablation_type,drop_fraction,n_edges_dropped,repeat_idx,base_accuracy_mean,base_accuracy_std,accuracy_mean,accuracy_std,delta_vs_base
top,0.01,255,-1,0.8666666666666667,0.022222222222222202,0.8814814814814814,0.03394500514782103,-0.014814814814814725
random,0.01,255,0,0.8666666666666667,0.022222222222222202,0.8962962962962963,0.012830005981991702,-0.02962962962962956
random,0.01,255,1,0.8666666666666667,0.022222222222222202,0.8888888888888888,0.08012336167697753,-0.022222222222222143
random,0.01,255,2,0.8666666666666667,0.022222222222222202,0.8888888888888888,0.022222222222222202,-0.022222222222222143
random,0.01,255,3,0.8666666666666667,0.022222222222222202,0.8814814814814814,0.07143445008142928,-0.014814814814814725
random,0.01,255,4,0.8666666666666667,0.022222222222222202,0.8962962962962964,0.04625924443258073,-0.029629629629629672
random,0.01,255,5,0.8666666666666667,0.022222222222222202,0.8962962962962964,0.02566001196398334,-0.029629629629629672
random,0.01,255,6,0.8666666666666667,0.022222222222222202,0.9037037037037038,0.04625924443258075,-0.03703703703703709
random,0.01,255,7,0.8666666666666667,0.022222222222222202,0.8740740740740741,0.04625924443258073,-0.007407407407407418
top,0.03,763,-1,0.8666666666666667,0.022222222222222202,0.9111111111111111,0.038490017945975105,-0.0444444444444444
random,0.03,763,0,0.8666666666666667,0.022222222222222202,0.9037037037037036,0.012830005981991702,-0.03703703703703687
random,0.03,763,1,0.8666666666666667,0.022222222222222202,0.9037037037037038,0.0559246995205241,-0.03703703703703709
random,0.03,763,2,0.8666666666666667,0.022222222222222202,0.8962962962962963,0.012830005981991702,-0.02962962962962956
random,0.03,763,3,0.8666666666666667,0.022222222222222202,0.8666666666666667,0.05879447357921308,0.0
random,0.03,763,4,0.8666666666666667,0.022222222222222202,0.888888888888889,0.05879447357921315,-0.022222222222222254
random,0.03,763,5,0.8666666666666667,0.022222222222222202,0.8962962962962964,0.03394500514782104,-0.029629629629629672
random,0.03,763,6,0.8666666666666667,0.022222222222222202,0.9037037037037038,0.04625924443258075,-0.03703703703703709
random,0.03,763,7,0.8666666666666667,0.022222222222222202,0.8666666666666667,0.022222222222222202,0.0
top,0.05,1272,-1,0.8666666666666667,0.022222222222222202,0.888888888888889,0.05879447357921315,-0.022222222222222254
random,0.05,1272,0,0.8666666666666667,0.022222222222222202,0.9037037037037038,0.012830005981991702,-0.03703703703703709
random,0.05,1272,1,0.8666666666666667,0.022222222222222202,0.8962962962962963,0.08981004187394175,-0.02962962962962956
random,0.05,1272,2,0.8666666666666667,0.022222222222222202,0.8888888888888888,0.022222222222222202,-0.022222222222222143
random,0.05,1272,3,0.8666666666666667,0.022222222222222202,0.8962962962962964,0.0559246995205241,-0.029629629629629672
random,0.05,1272,4,0.8666666666666667,0.022222222222222202,0.8962962962962964,0.06789001029564211,-0.029629629629629672
random,0.05,1272,5,0.8666666666666667,0.022222222222222202,0.9111111111111111,0.022222222222222254,-0.0444444444444444
random,0.05,1272,6,0.8666666666666667,0.022222222222222202,0.8666666666666666,0.05879447357921315,1.1102230246251565e-16
random,0.05,1272,7,0.8666666666666667,0.022222222222222202,0.8592592592592593,0.02566001196398334,0.007407407407407418
