rank,edge_idx,neuron_i_local,neuron_j_local,neuron_i_global,neuron_j_global,layer_i,layer_j,layer_pair,strength_decile,corr_mean,edge_importance,edge_importance_raw
1,24298,178,180,178,180,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.8474190473344859,0.00031447699609274914,0.02379135668651017
2,24103,174,179,174,179,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.7982998253613772,0.0002463580685678237,0.01863790596679502
3,4311,20,22,20,22,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.8774988875767997,0.0002368670463447956,0.017919874766315545
4,4515,21,22,21,22,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.928633194823383,0.0002345956519262419,0.017748035313958205
5,9646,47,200,47,200,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.25188709565307915,0.00021437318722518554,0.016218130498150005
6,24299,178,181,178,181,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.7563065036536163,0.0002140284442221956,0.016192049405252217
7,10521,52,200,52,200,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.2483083559170579,0.00021012399022238794,0.01589666290980217
8,9605,47,159,47,159,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.2816322466973564,0.00020815436809816756,0.015747653656097812
9,23832,169,173,169,173,DepthLow,DepthLow,DepthLow--DepthLow,10,0.7950391329684368,0.00020790638678713094,0.015728892945789066
10,12047,61,214,61,214,DepthMid,DepthMid,DepthMid--DepthMid,10,0.864374248428983,0.00020577699394140657,0.015567796441600284
11,10480,52,159,52,159,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.28315344019027333,0.00020568782982389376,0.015561050843830838
12,17925,103,107,103,107,DepthMid,DepthMid,DepthMid--DepthMid,10,0.8901596938956564,0.00020363223546638443,0.015405537470293468
13,23830,169,171,169,171,DepthLow,DepthLow,DepthLow--DepthLow,10,0.7960999327566959,0.00020252432807230417,0.01532172014719613
14,11895,61,62,61,62,DepthMid,DepthMid,DepthMid--DepthMid,10,0.9106091932589205,0.0002020123937077098,0.015282990404736513
15,10652,53,159,53,159,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.28737096119237476,0.00020125841728276618,0.015225949278415899
16,24390,180,181,180,181,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.8033571639596722,0.0002005701335067736,0.015173878045799102
17,10993,55,159,55,159,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.3139341434541174,0.0001966855946408818,0.014879998204445662
18,10548,53,55,53,55,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.639087281210031,0.0001961740079536019,0.01484129476507054
19,23941,171,173,171,173,DepthLow,DepthLow,DepthLow--DepthLow,10,0.8624258830486058,0.00019438484131900147,0.014705937641642575
20,23254,159,200,159,200,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.5850566307335935,0.000193243117818722,0.014619562004091938
21,10693,53,200,53,200,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.2838481082589471,0.00019170564351522222,0.014503246343470078
22,9501,47,55,47,55,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.6104059188650609,0.00018657350702799982,0.01411498109275727
23,11233,57,62,57,62,DepthMid,DepthMid,DepthMid--DepthMid,10,0.5354221938490838,0.0001863041921755311,0.014094606420537467
24,5580,26,82,26,82,DepthHigh,DepthMid,DepthHigh--DepthMid,10,0.319797008688805,0.00018358007098245174,0.01388851650055261
25,11914,61,81,61,81,DepthMid,DepthMid,DepthMid--DepthMid,10,0.3785898350278403,0.00018136839979658711,0.0137211953333132
26,23888,170,174,170,174,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.6790963944229605,0.00018072404821864026,0.013672447735196587
27,10376,52,55,52,55,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.5960189262256269,0.00018033984200157654,0.013643381103090237
28,11034,55,200,55,200,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.2849162514814427,0.00017944947444868022,0.013576021479663905
29,17934,103,116,103,116,DepthMid,DepthMid,DepthMid--DepthMid,5,0.07655834284862849,0.00017878930387934592,0.01352607711589767
30,5682,26,184,26,184,DepthHigh,DepthHigh,DepthHigh--DepthHigh,9,0.1629364587604193,0.00017698887085697962,0.013389867648249822
31,11232,57,61,57,61,DepthMid,DepthMid,DepthMid--DepthMid,10,0.5623676971887587,0.00017571120102973133,0.013293207164445497
32,9498,47,52,47,52,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.8710584019936555,0.00017440017820333928,0.013194023401962435
33,5679,26,181,26,181,DepthHigh,DepthHigh,DepthHigh--DepthHigh,9,0.176545190172436,0.00017381441244979526,0.013149708039788224
34,10664,53,171,53,171,DepthHigh,DepthLow,DepthHigh--DepthLow,4,0.059761848884935694,0.0001727814571071103,0.013071561118695764
35,15226,82,180,82,180,DepthMid,DepthHigh,DepthHigh--DepthMid,10,0.19787457103970227,0.00017210006214076712,0.013020011050200826
36,5678,26,180,26,180,DepthHigh,DepthHigh,DepthHigh--DepthHigh,9,0.1685305908910213,0.00017168874714676611,0.01298889353809542
37,5674,26,176,26,176,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.20455574906693352,0.00017166562967911754,0.012987144615518096
38,9571,47,125,47,125,DepthHigh,DepthMid,DepthHigh--DepthMid,8,0.13117674020304082,0.00017109171372536741,0.012943725734857836
39,20408,125,159,125,159,DepthMid,DepthHigh,DepthHigh--DepthMid,9,0.15144646947164636,0.00017064015564484573,0.012909563683286983
40,23714,167,168,167,168,DepthLow,DepthLow,DepthLow--DepthLow,10,0.892375441129801,0.00016803299404039398,0.012712322192044196
41,10666,53,173,53,173,DepthHigh,DepthLow,DepthHigh--DepthLow,4,0.05407967073919926,0.0001678927611274802,0.012701713049589352
42,10662,53,169,53,169,DepthHigh,DepthLow,DepthHigh--DepthLow,6,0.08713435972491725,0.00016767484011439814,0.012685226512843777
43,22427,148,154,148,154,DepthHigh,DepthLow,DepthHigh--DepthLow,7,0.1003999727312941,0.00016741497408451732,0.012665566679264793
44,18412,107,116,107,116,DepthMid,DepthMid,DepthMid--DepthMid,6,0.07938527769887707,0.00016731416416109932,0.012657940032879282
45,10446,52,125,52,125,DepthHigh,DepthMid,DepthHigh--DepthMid,7,0.11303164274496766,0.00016726932313845753,0.012654547642411574
46,16910,95,96,95,96,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.9035855041905344,0.00016713725419547208,0.012644556134705711
47,11730,60,61,60,61,DepthMid,DepthMid,DepthMid--DepthMid,10,0.6471441942576794,0.00016705978207093384,0.012638695079776252
48,18404,107,108,107,108,DepthMid,DepthMid,DepthMid--DepthMid,3,0.03526863942477498,0.0001665509666992423,0.012600201300752992
49,20449,125,200,125,200,DepthMid,DepthHigh,DepthHigh--DepthMid,9,0.15517426215474964,0.0001660036924122551,0.012558797961466363
50,11385,57,214,57,214,DepthMid,DepthMid,DepthMid--DepthMid,10,0.6115608644771527,0.00016539504629641224,0.012512751614618131
51,19467,116,154,116,154,DepthMid,DepthLow,DepthLow--DepthMid,8,0.12987142643536795,0.00016476670209762562,0.012465215034388197
52,19461,116,148,116,148,DepthMid,DepthHigh,DepthHigh--DepthMid,6,0.09492813963222005,0.00016445869286938267,0.012441912988442352
53,9499,47,53,47,53,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.7092804174183809,0.0001639663797903727,0.012404667669358008
54,24348,179,184,179,184,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.46197885612812084,0.00016348891845987138,0.01236854594039497
55,11910,61,77,61,77,DepthMid,DepthMid,DepthMid--DepthMid,10,0.5307431259578328,0.00016303730462193547,0.012334379670567946
56,15227,82,181,82,181,DepthMid,DepthHigh,DepthHigh--DepthMid,10,0.19528331931190793,0.0001625361203438551,0.012296463212214457
57,11883,60,214,60,214,DepthMid,DepthMid,DepthMid--DepthMid,10,0.7079423020481694,0.00016099343788051715,0.012179753534892071
58,10618,53,125,53,125,DepthHigh,DepthMid,DepthHigh--DepthMid,8,0.1305671106845489,0.00016094083650638636,0.012175774044914442
59,18561,108,148,108,148,DepthMid,DepthHigh,DepthHigh--DepthMid,6,0.08100120823815782,0.00016036944395623912,0.012132546069140474
60,17966,103,148,103,148,DepthMid,DepthHigh,DepthHigh--DepthMid,5,0.06815343002783927,0.00016021462946900025,0.012120833776248141
61,18450,107,154,107,154,DepthMid,DepthLow,DepthLow--DepthMid,8,0.13909442696374316,0.00015862310811080597,0.012000429254526521
62,22882,154,168,154,168,DepthLow,DepthLow,DepthLow--DepthLow,10,0.8405931846544221,0.00015826940558081752,0.011973670340022663
63,17926,103,108,103,108,DepthMid,DepthMid,DepthMid--DepthMid,4,0.055570316705487725,0.00015779614458484836,0.011937866382019978
64,5676,26,178,26,178,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.23038894193951578,0.0001572426297909995,0.011895990925133349
65,11896,61,63,61,63,DepthMid,DepthMid,DepthMid--DepthMid,10,0.7568387574092433,0.00015580498629069232,0.011787227836803152
66,24108,174,184,174,184,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.4573702763376114,0.00015577589041341298,0.011785026625258077
67,12059,62,63,62,63,DepthMid,DepthMid,DepthMid--DepthMid,10,0.8425472844951837,0.0001555805536889028,0.011770248674105727
68,18444,107,148,107,148,DepthMid,DepthHigh,DepthHigh--DepthMid,4,0.05673079627138634,0.0001554679875198429,0.011761732623926501
69,15224,82,178,82,178,DepthMid,DepthHigh,DepthHigh--DepthMid,9,0.16386504605885757,0.00015414816561633537,0.011661883178468953
70,3900,18,22,18,22,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.5329301681263122,0.000154087838714122,0.01165731922350187
71,18711,109,182,109,182,DepthMid,DepthLow,DepthLow--DepthMid,7,0.10969883426790687,0.00015392523224142554,0.011645017437872007
72,21598,138,140,138,140,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.864267289576869,0.00015380578599904249,0.011635980884506555
73,10959,55,125,55,125,DepthHigh,DepthMid,DepthHigh--DepthMid,9,0.15480631050128094,0.00015370301575756576,0.011628205932754567
74,12077,62,81,62,81,DepthMid,DepthMid,DepthMid--DepthMid,10,0.3419522990987182,0.0001534046401070827,0.011605632702866815
75,15222,82,176,82,176,DepthMid,DepthHigh,DepthHigh--DepthMid,9,0.17376862134368415,0.00015299210082157124,0.011574422568546188
76,18167,105,108,105,108,DepthMid,DepthMid,DepthMid--DepthMid,10,0.8101023247753097,0.00015206448385395559,0.011504244888082419
77,23893,170,179,170,179,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.6660071081963601,0.00015200278958096676,0.01149957748642052
78,21786,140,157,140,157,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.20284617500896818,0.0001516309395512128,0.011471445645930807
79,11789,60,120,60,120,DepthMid,DepthMid,DepthMid--DepthMid,5,0.07646367791605374,0.00015150709216587332,0.011462076129699374
80,23898,170,184,170,184,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.4093378422177234,0.00015143141734955029,0.011456351047834256
81,18567,108,154,108,154,DepthMid,DepthLow,DepthLow--DepthMid,3,0.038341303572759534,0.00015093740292101694,0.011418977015318209
82,10374,52,53,52,53,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.916264015297157,0.00015080863704982828,0.011409235397303022
83,17972,103,154,103,154,DepthMid,DepthLow,DepthLow--DepthMid,8,0.13700496638576026,0.00015068300421995125,0.011399730805538674
84,3898,18,20,18,20,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.5218278908895757,0.0001503001606727871,0.011370767264488362
85,21684,139,140,139,140,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.9013905294090865,0.00015021563109587338,0.011364372286986349
86,21597,138,139,138,139,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.9050193862799134,0.00014876834225451764,0.011254879492661433
87,19994,121,151,121,151,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.4597222030757154,0.00014796858760733215,0.01119437507323079
88,23933,170,219,170,219,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.18474727933991483,0.00014776211078088112,0.011178754331851837
89,13950,74,76,74,76,DepthLow,DepthLow,DepthLow--DepthLow,10,0.7100184631242435,0.00014726939945873226,0.011141478884189942
90,12145,62,149,62,149,DepthMid,DepthHigh,DepthHigh--DepthMid,9,0.15149865736335538,0.00014723266345078174,0.01113869966828783
91,21787,140,158,140,158,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.21378492677696592,0.00014671833055313467,0.011099788467864385
92,24383,179,219,179,219,DepthHigh,DepthHigh,DepthHigh--DepthHigh,9,0.17670653811496176,0.00014568179418748692,0.011021370629039724
93,14652,78,184,78,184,DepthLow,DepthHigh,DepthHigh--DepthLow,8,0.12568783013826285,0.00014507536422715691,0.010975491942614782
94,14647,78,179,78,179,DepthLow,DepthHigh,DepthHigh--DepthLow,5,0.06838313205633245,0.0001446681339238976,0.010944683452586021
95,2255,10,61,10,61,DepthLow,DepthMid,DepthLow--DepthMid,10,0.3805529386278962,0.00014458523899980364,0.01093841214266153
96,23280,160,161,160,161,DepthLow,DepthLow,DepthLow--DepthLow,10,0.9706627475633596,0.00014354086316648815,0.010859401218893191
97,2914,13,81,13,81,DepthLow,DepthMid,DepthLow--DepthMid,10,0.19904160448269026,0.00014255999168504753,0.010785194635999933
