component_idx,selection_frequency,mean_abs_coef
1,1.0,0.14916416418389894
4,1.0,0.13199579026048236
6,1.0,0.09378834156540929
15,1.0,0.08140646100580488
13,1.0,0.07944247089183817
7,0.96,0.09434333370157182
11,0.92,0.07503989860673116
5,0.68,0.06432645564717808
24,0.48,0.06015160007731887
8,0.4,0.05734379247094071
18,0.4,0.056946247870284565
14,0.24,0.05378196288519846
31,0.16,0.04638749121057984
9,0.16,0.04371221660223504
3,0.12,0.05243699071155815
23,0.08,0.044951726275601886
30,0.08,0.041833444112817426
20,0.08,0.0357478974044493
29,0.04,0.04163286664576856
28,0.04,0.03311642613412262
10,0.04,0.03225675486090518
19,0.04,0.030128645131478633
12,0.04,0.02951705667462598
32,0.04,0.024059251747812406
2,0.0,0.040936793258401105
27,0.0,0.037927390761598435
16,0.0,0.03608415892797525
22,0.0,0.03218206429420463
35,0.0,0.03045370284372079
0,0.0,0.030434970143909373
34,0.0,0.029570388888139554
36,0.0,0.02718457724743727
17,0.0,0.026885391232362284
21,0.0,0.026845826224317332
38,0.0,0.025201071539168687
33,0.0,0.02206559343619979
39,0.0,0.021747850576557478
37,0.0,0.020361547960559393
26,0.0,0.01961761574309466
25,0.0,0.018039283166085954
