strength_decile,n_edges,importance_sum,importance_mean,corr_mean
1,2543,0.07641723265393782,3.0050032502531586e-05,-0.02497290686986864
2,2542,0.07935168415060151,3.121624081455606e-05,0.015193631569718759
3,2543,0.08408019519914495,3.3063387809337376e-05,0.03625153058644394
4,2542,0.08718448540430865,3.429759457289876e-05,0.05335431736497967
5,2543,0.09183280364095418,3.611199513997412e-05,0.07023070397863317
6,2542,0.09615057421548408,3.782477349153583e-05,0.0869912902789609
7,2543,0.10076439986886176,3.962422330666998e-05,0.10543406332121542
8,2542,0.10835174028720143,4.262460278804148e-05,0.12679611351274409
9,2543,0.12010193594111765,4.722844512037658e-05,0.15736453191981295
10,2542,0.15576494863837476,6.127653368936851e-05,0.28865625137824114
