Neuron_ID,Class_1,Class_2,Class_3,Membership_Pattern,Membership_Count
0,1,1,1,"1,2,3",3
1,1,1,1,"1,2,3",3
2,1,1,0,"1,2",2
3,1,1,0,"1,2",2
4,1,0,1,"1,3",2
5,1,0,1,"1,3",2
6,1,0,1,"1,3",2
7,1,1,1,"1,2,3",3
8,1,0,0,1,1
9,1,1,0,"1,2",2
10,0,0,1,3,1
11,1,0,1,"1,3",2
12,1,0,0,1,1
13,0,0,1,3,1
14,0,0,1,3,1
15,0,0,1,3,1
16,0,0,1,3,1
17,0,0,1,3,1
18,1,1,0,"1,2",2
19,1,1,0,"1,2",2
20,1,1,0,"1,2",2
21,1,1,0,"1,2",2
22,1,1,0,"1,2",2
23,1,1,0,"1,2",2
24,1,0,0,1,1
25,0,1,1,"2,3",2
26,1,0,0,1,1
27,0,1,0,2,1
28,1,0,0,1,1
29,0,1,1,"2,3",2
30,0,1,1,"2,3",2
31,0,0,1,3,1
32,0,1,0,2,1
33,1,0,0,1,1
34,0,1,0,2,1
35,1,1,0,"1,2",2
36,1,1,0,"1,2",2
37,1,0,0,1,1
38,0,1,0,2,1
39,0,0,1,3,1
40,1,0,1,"1,3",2
41,1,1,1,"1,2,3",3
42,0,1,0,2,1
43,1,0,1,"1,3",2
44,1,0,1,"1,3",2
45,1,1,0,"1,2",2
46,1,0,0,1,1
47,0,1,0,2,1
48,1,1,1,"1,2,3",3
49,1,1,1,"1,2,3",3
50,1,0,0,1,1
51,1,0,0,1,1
52,1,1,0,"1,2",2
53,0,1,0,2,1
54,1,0,0,1,1
55,1,1,0,"1,2",2
56,0,1,0,2,1
57,0,1,0,2,1
58,0,1,0,2,1
59,0,0,1,3,1
60,1,1,0,"1,2",2
61,0,1,0,2,1
62,0,1,0,2,1
63,0,1,0,2,1
64,1,1,1,"1,2,3",3
65,1,1,0,"1,2",2
66,1,1,1,"1,2,3",3
67,1,1,1,"1,2,3",3
68,1,1,0,"1,2",2
69,0,0,1,3,1
70,1,0,0,1,1
71,1,0,1,"1,3",2
72,0,0,1,3,1
73,1,1,1,"1,2,3",3
74,0,0,1,3,1
75,0,1,0,2,1
76,1,0,1,"1,3",2
77,0,1,0,2,1
78,0,0,1,3,1
79,0,0,1,3,1
80,0,0,1,3,1
81,0,1,0,2,1
82,1,1,0,"1,2",2
83,0,0,1,3,1
84,1,1,1,"1,2,3",3
85,1,1,1,"1,2,3",3
86,0,0,1,3,1
87,1,1,1,"1,2,3",3
88,1,1,1,"1,2,3",3
89,1,0,0,1,1
90,1,1,1,"1,2,3",3
91,0,1,0,2,1
92,1,1,1,"1,2,3",3
93,0,0,1,3,1
94,1,1,0,"1,2",2
95,1,1,0,"1,2",2
96,1,0,0,1,1
97,1,1,1,"1,2,3",3
98,0,0,1,3,1
99,0,1,0,2,1
100,0,1,1,"2,3",2
101,1,0,0,1,1
102,1,0,0,1,1
103,1,0,0,1,1
104,0,1,0,2,1
105,0,1,0,2,1
106,0,1,0,2,1
107,1,0,0,1,1
108,0,1,0,2,1
109,0,1,0,2,1
110,0,1,0,2,1
111,0,1,0,2,1
112,0,1,0,2,1
113,1,1,0,"1,2",2
114,1,1,0,"1,2",2
115,1,0,0,1,1
116,0,1,0,2,1
117,0,1,0,2,1
118,0,1,0,2,1
119,0,0,1,3,1
120,0,1,0,2,1
121,0,1,0,2,1
122,0,1,0,2,1
123,1,1,1,"1,2,3",3
124,0,1,1,"2,3",2
125,0,1,0,2,1
126,1,1,1,"1,2,3",3
127,1,0,0,1,1
128,0,1,0,2,1
129,0,1,0,2,1
130,1,1,0,"1,2",2
131,1,1,1,"1,2,3",3
132,0,1,0,2,1
133,0,1,0,2,1
134,1,1,1,"1,2,3",3
135,1,1,1,"1,2,3",3
136,0,0,1,3,1
137,0,1,0,2,1
138,1,1,1,"1,2,3",3
139,1,1,1,"1,2,3",3
140,1,1,1,"1,2,3",3
141,0,1,0,2,1
142,0,0,1,3,1
143,0,0,1,3,1
144,0,1,0,2,1
145,1,1,1,"1,2,3",3
146,0,1,0,2,1
147,0,1,0,2,1
148,0,1,0,2,1
149,0,1,0,2,1
150,0,1,0,2,1
151,0,1,0,2,1
152,0,0,1,3,1
153,0,1,0,2,1
154,0,0,1,3,1
155,1,0,0,1,1
156,1,0,1,"1,3",2
157,1,1,1,"1,2,3",3
158,0,1,1,"2,3",2
159,0,1,0,2,1
160,0,0,1,3,1
161,0,0,1,3,1
162,0,1,0,2,1
163,0,1,0,2,1
164,1,0,1,"1,3",2
165,1,0,0,1,1
166,0,1,0,2,1
167,0,0,1,3,1
168,0,0,1,3,1
169,1,1,1,"1,2,3",3
170,1,0,0,1,1
171,1,1,1,"1,2,3",3
172,1,1,1,"1,2,3",3
173,1,1,1,"1,2,3",3
174,1,0,0,1,1
175,0,1,0,2,1
176,0,0,1,3,1
177,1,1,1,"1,2,3",3
178,0,0,1,3,1
179,1,0,0,1,1
180,0,0,1,3,1
181,0,0,1,3,1
182,1,1,1,"1,2,3",3
183,0,1,0,2,1
184,1,0,0,1,1
185,1,1,1,"1,2,3",3
186,1,1,0,"1,2",2
187,1,1,1,"1,2,3",3
188,0,1,0,2,1
189,1,1,0,"1,2",2
190,0,1,0,2,1
191,1,1,1,"1,2,3",3
192,1,1,1,"1,2,3",3
193,1,1,1,"1,2,3",3
194,1,1,1,"1,2,3",3
195,0,0,1,3,1
196,0,1,0,2,1
197,0,0,1,3,1
198,1,1,1,"1,2,3",3
199,1,1,0,"1,2",2
200,1,0,0,1,1
201,0,0,1,3,1
202,1,1,1,"1,2,3",3
203,0,1,0,2,1
204,0,1,0,2,1
205,1,0,1,"1,3",2
206,0,0,1,3,1
207,0,0,1,3,1
208,0,1,0,2,1
209,0,1,0,2,1
210,0,1,0,2,1
211,1,0,1,"1,3",2
212,1,1,1,"1,2,3",3
213,0,1,0,2,1
214,0,1,0,2,1
215,1,1,1,"1,2,3",3
216,1,1,1,"1,2,3",3
217,0,1,0,2,1
218,1,1,0,"1,2",2
219,1,1,0,"1,2",2
220,1,1,0,"1,2",2
221,1,1,1,"1,2,3",3
222,1,1,1,"1,2,3",3
223,1,1,1,"1,2,3",3
224,1,1,1,"1,2,3",3
225,1,1,1,"1,2,3",3
