Class_ID,Class_Name,Network_Type,Edge_Fraction,efficiency,modularity,local_efficiency,avg_clustering,density,n_edges
1,Divergent,strong,0.05,0.23451180714251207,0.5140893290269524,0.7376216847321396,0.6454799287139551,0.04993950799838688,743
1,Divergent,weak,0.05,0.3410393422054935,0.2769246932790386,0.16137739877844687,0.0941523657642692,0.04993950799838688,743
2,Convergent,strong,0.05,0.2656960741010707,0.4576704241833605,0.7206851411051122,0.6344923634030413,0.04993950799838688,743
2,Convergent,weak,0.05,0.42116435900885235,0.2489788044177238,0.38720314325012795,0.2805901168731409,0.04993950799838688,743
3,Random,strong,0.05,0.21917036340008464,0.46065204356859624,0.7541887200065115,0.6682085692068296,0.04993950799838688,743
3,Random,weak,0.05,0.47762916162567987,0.23319759659015776,0.41470247459366694,0.27518045536091723,0.04993950799838688,743
