ablation_type,drop_fraction,n_edges_dropped,repeat_idx,base_accuracy_mean,base_accuracy_std,accuracy_mean,accuracy_std,delta_vs_base
top,0.01,149,-1,0.7818181818181819,0.1012320793241822,0.7515151515151516,0.06883525267636698,0.030303030303030276
random,0.01,149,0,0.7818181818181819,0.1012320793241822,0.7393939393939394,0.010497277621629563,0.042424242424242475
random,0.01,149,1,0.7818181818181819,0.1012320793241822,0.7636363636363637,0.018181818181818188,0.018181818181818188
random,0.01,149,2,0.7818181818181819,0.1012320793241822,0.7333333333333334,0.04575657233497425,0.048484848484848464
random,0.01,149,3,0.7818181818181819,0.1012320793241822,0.7515151515151516,0.1168927364968843,0.030303030303030276
random,0.01,149,4,0.7818181818181819,0.1012320793241822,0.787878787878788,0.020994555243259126,-0.0060606060606061
random,0.01,149,5,0.7818181818181819,0.1012320793241822,0.7515151515151515,0.058446368248442175,0.030303030303030387
random,0.01,149,6,0.7818181818181819,0.1012320793241822,0.7272727272727272,0.06298366572977737,0.054545454545454675
random,0.01,149,7,0.7818181818181819,0.1012320793241822,0.7090909090909091,0.07925270806437591,0.07272727272727275
top,0.03,447,-1,0.7818181818181819,0.1012320793241822,0.7636363636363637,0.09090909090909088,0.018181818181818188
random,0.03,447,0,0.7818181818181819,0.1012320793241822,0.7636363636363637,0.06555547773570891,0.018181818181818188
random,0.03,447,1,0.7818181818181819,0.1012320793241822,0.793939393939394,0.027773186030035403,-0.012121212121212088
random,0.03,447,2,0.7818181818181819,0.1012320793241822,0.7636363636363637,0.08331955809010616,0.018181818181818188
random,0.03,447,3,0.7818181818181819,0.1012320793241822,0.7393939393939394,0.12106051124507991,0.042424242424242475
random,0.03,447,4,0.7818181818181819,0.1012320793241822,0.7818181818181819,0.018181818181818188,0.0
random,0.03,447,5,0.7818181818181819,0.1012320793241822,0.7636363636363637,0.094475498594666,0.018181818181818188
random,0.03,447,6,0.7818181818181819,0.1012320793241822,0.7333333333333334,0.020994555243259126,0.048484848484848464
random,0.03,447,7,0.7818181818181819,0.1012320793241822,0.6848484848484849,0.10653573231058758,0.09696969696969693
top,0.05,744,-1,0.7818181818181819,0.1012320793241822,0.7454545454545455,0.054545454545454564,0.036363636363636376
random,0.05,744,0,0.7818181818181819,0.1012320793241822,0.7636363636363637,0.04810456929208348,0.018181818181818188
random,0.05,744,1,0.7818181818181819,0.1012320793241822,0.7757575757575758,0.027773186030035403,0.0060606060606061
random,0.05,744,2,0.7818181818181819,0.1012320793241822,0.7818181818181819,0.04810456929208342,0.0
random,0.05,744,3,0.7818181818181819,0.1012320793241822,0.7212121212121212,0.12106051124507991,0.06060606060606066
random,0.05,744,4,0.7818181818181819,0.1012320793241822,0.7757575757575758,0.010497277621629563,0.0060606060606061
random,0.05,744,5,0.7818181818181819,0.1012320793241822,0.7636363636363637,0.06298366572977732,0.018181818181818188
random,0.05,744,6,0.7818181818181819,0.1012320793241822,0.7272727272727272,0.036363636363636376,0.054545454545454675
random,0.05,744,7,0.7818181818181819,0.1012320793241822,0.7212121212121212,0.07348094335140694,0.06060606060606066
