Class_ID,Class_Name,Signal_Corr,Noise_Corr,Abs_Signal_Corr,Abs_Noise_Corr
1,Divergent,0.8029225466869002,0.11580721039310123,0.8029225466869002,0.11580721039310123
1,Divergent,0.9002392599596027,0.14925711480029108,0.9002392599596027,0.14925711480029108
1,Divergent,0.62001042402769,0.11081930671255079,0.62001042402769,0.11081930671255079
1,Divergent,0.614609264408458,0.06136643124069886,0.614609264408458,0.06136643124069886
1,Divergent,0.6168119344207057,0.02568382327985763,0.6168119344207057,0.02568382327985763
1,Divergent,0.563025975414802,0.14169851569989733,0.563025975414802,0.14169851569989733
1,Divergent,0.7003093250095672,0.1852158161472913,0.7003093250095672,0.1852158161472913
1,Divergent,0.7167008110639541,0.08714977211820925,0.7167008110639541,0.08714977211820925
1,Divergent,0.7550664204215752,-0.10743415326330842,0.7550664204215752,0.10743415326330842
1,Divergent,0.8936158103360178,0.07140960255664232,0.8936158103360178,0.07140960255664232
1,Divergent,0.896575653160794,0.19857400010273057,0.896575653160794,0.19857400010273057
1,Divergent,0.9005279115441933,0.07824908448829009,0.9005279115441933,0.07824908448829009
1,Divergent,0.9183945770048657,0.09010452320838847,0.9183945770048657,0.09010452320838847
1,Divergent,0.6414579041749545,0.48351561609074656,0.6414579041749545,0.48351561609074656
1,Divergent,0.6803411977742236,0.47913550168707364,0.6803411977742236,0.47913550168707364
1,Divergent,0.7062969798571092,0.49236254892557385,0.7062969798571092,0.49236254892557385
1,Divergent,0.8719779346567638,-0.05723114108510029,0.8719779346567638,0.05723114108510029
1,Divergent,0.8827135163533134,-0.021289747920471943,0.8827135163533134,0.021289747920471943
1,Divergent,0.8777200454955281,-0.04578310174248839,0.8777200454955281,0.04578310174248839
1,Divergent,0.8391055674142758,-0.026983918004047657,0.8391055674142758,0.026983918004047657
1,Divergent,0.7815845043734057,-0.06648514944680549,0.7815845043734057,0.06648514944680549
1,Divergent,0.8151507895390956,-0.007884888513040245,0.8151507895390956,0.007884888513040245
1,Divergent,0.9017389947065265,0.3817559245836111,0.9017389947065265,0.3817559245836111
1,Divergent,0.8318767081239743,-0.24072382717277008,0.8318767081239743,0.24072382717277008
1,Divergent,0.6736565150383875,-0.16118884897847408,0.6736565150383875,0.16118884897847408
1,Divergent,0.7986448304908189,-0.21096724109044407,0.7986448304908189,0.21096724109044407
1,Divergent,0.781265553596481,-0.15929858752115164,0.781265553596481,0.15929858752115164
1,Divergent,0.7817638239526363,0.17725364927882745,0.7817638239526363,0.17725364927882745
1,Divergent,0.8307431829125934,0.08257655790323112,0.8307431829125934,0.08257655790323112
1,Divergent,0.8903395771930431,0.10300470529047497,0.8903395771930431,0.10300470529047497
1,Divergent,0.9093579612564445,0.17834256098945883,0.9093579612564445,0.17834256098945883
1,Divergent,0.8492121722584128,0.23264438557922973,0.8492121722584128,0.23264438557922973
1,Divergent,0.8034150883157979,0.14814909481639751,0.8034150883157979,0.14814909481639751
1,Divergent,0.8931980942143939,0.20604655403282301,0.8931980942143939,0.20604655403282301
1,Divergent,0.9104392711043093,0.2601283825931103,0.9104392711043093,0.2601283825931103
1,Divergent,0.850111269601092,0.4529797143140545,0.850111269601092,0.4529797143140545
1,Divergent,0.8715710750657996,0.3106343749740807,0.8715710750657996,0.3106343749740807
1,Divergent,0.8918946374679717,0.23864247329043026,0.8918946374679717,0.23864247329043026
1,Divergent,0.5059413692868936,0.16285444904945645,0.5059413692868936,0.16285444904945645
1,Divergent,0.7870695990390195,0.1906859731783298,0.7870695990390195,0.1906859731783298
1,Divergent,0.7802479137810195,0.15592284610771714,0.7802479137810195,0.15592284610771714
1,Divergent,0.7659295986238144,0.1796377560241885,0.7659295986238144,0.1796377560241885
1,Divergent,0.744210868723976,0.25304618658034506,0.744210868723976,0.25304618658034506
1,Divergent,0.9076833760595135,0.03701981211119375,0.9076833760595135,0.03701981211119375
1,Divergent,0.8371242774135907,-0.09503198558988872,0.8371242774135907,0.09503198558988872
1,Divergent,0.7517320584960168,0.239668471324726,0.7517320584960168,0.239668471324726
1,Divergent,0.8851478603776328,0.15947529367295749,0.8851478603776328,0.15947529367295749
1,Divergent,0.8480912006211483,0.09848757048785628,0.8480912006211483,0.09848757048785628
1,Divergent,0.7905191423950848,0.1055586606041103,0.7905191423950848,0.1055586606041103
1,Divergent,0.7822005408744472,0.15524650817628927,0.7822005408744472,0.15524650817628927
1,Divergent,0.7224318432860916,0.030746455362598044,0.7224318432860916,0.030746455362598044
1,Divergent,0.797578593287046,-0.053206296740156714,0.797578593287046,0.053206296740156714
1,Divergent,0.7674269390111585,-0.05065553214513304,0.7674269390111585,0.05065553214513304
1,Divergent,0.7240834557293105,0.26740306907730677,0.7240834557293105,0.26740306907730677
1,Divergent,0.7988853466735395,-0.05106520399692732,0.7988853466735395,0.05106520399692732
1,Divergent,0.8909902019079105,0.2878518342162136,0.8909902019079105,0.2878518342162136
1,Divergent,0.8844426220852601,0.2944323746695856,0.8844426220852601,0.2944323746695856
1,Divergent,0.8316417853290229,0.0838776056115965,0.8316417853290229,0.0838776056115965
1,Divergent,0.7632671641587564,0.053548360740628895,0.7632671641587564,0.053548360740628895
1,Divergent,0.7755384956875837,-0.06062575077699722,0.7755384956875837,0.06062575077699722
1,Divergent,0.857677913898322,0.11519942029011337,0.857677913898322,0.11519942029011337
1,Divergent,0.9117197084755712,0.14747497112060698,0.9117197084755712,0.14747497112060698
1,Divergent,0.8994465402547788,0.2883856880042714,0.8994465402547788,0.2883856880042714
1,Divergent,0.8885573804720022,0.30666943459108514,0.8885573804720022,0.30666943459108514
1,Divergent,0.8809878743069849,0.2841423613771493,0.8809878743069849,0.2841423613771493
1,Divergent,0.850900355211486,0.20747045730389121,0.850900355211486,0.20747045730389121
1,Divergent,0.9419844148338994,0.19657381217421852,0.9419844148338994,0.19657381217421852
1,Divergent,0.9475902262117755,0.2903922914467301,0.9475902262117755,0.2903922914467301
1,Divergent,0.9452682730621269,0.29442511527664705,0.9452682730621269,0.29442511527664705
1,Divergent,0.9532969202956422,0.25487968873806105,0.9532969202956422,0.25487968873806105
1,Divergent,0.8362130774091688,0.2688232085426789,0.8362130774091688,0.2688232085426789
1,Divergent,0.6842138372249503,-0.00789365509048115,0.6842138372249503,0.00789365509048115
1,Divergent,0.689512645249603,0.020218151363745406,0.689512645249603,0.020218151363745406
1,Divergent,0.870489822837111,0.10597763669287248,0.870489822837111,0.10597763669287248
1,Divergent,0.8741872573987104,0.17482654377079226,0.8741872573987104,0.17482654377079226
1,Divergent,0.7622482360556373,-0.048315200075149736,0.7622482360556373,0.048315200075149736
1,Divergent,0.9141839661989839,0.26655883840583094,0.9141839661989839,0.26655883840583094
1,Divergent,0.9121658184739027,0.2696115793057221,0.9121658184739027,0.2696115793057221
1,Divergent,0.758539999624319,0.2605173440566832,0.758539999624319,0.2605173440566832
1,Divergent,0.8800349705891747,0.23701712658550803,0.8800349705891747,0.23701712658550803
1,Divergent,0.9227485115528498,0.26762524511143115,0.9227485115528498,0.26762524511143115
1,Divergent,0.8752833528562725,0.3134267701818518,0.8752833528562725,0.3134267701818518
1,Divergent,0.8508343848519979,0.17133257349366393,0.8508343848519979,0.17133257349366393
1,Divergent,0.9198241798543391,0.28866912715337495,0.9198241798543391,0.28866912715337495
1,Divergent,0.9094136124719304,0.3897412385417522,0.9094136124719304,0.3897412385417522
1,Divergent,0.7647262701744314,0.114136986055852,0.7647262701744314,0.114136986055852
1,Divergent,0.8986308791124824,0.10807907588423592,0.8986308791124824,0.10807907588423592
1,Divergent,0.8329293456262912,0.014425559826241576,0.8329293456262912,0.014425559826241576
1,Divergent,0.8634119956179132,0.0008269370362702997,0.8634119956179132,0.0008269370362702997
1,Divergent,0.8217038943170584,-0.006499621179165253,0.8217038943170584,0.006499621179165253
1,Divergent,0.9172484125239203,0.3472939670091259,0.9172484125239203,0.3472939670091259
1,Divergent,0.9130533107625103,0.23922999025499816,0.9130533107625103,0.23922999025499816
1,Divergent,0.8923623858811177,0.33395085701630595,0.8923623858811177,0.33395085701630595
1,Divergent,0.9079672658041762,0.19407386535930746,0.9079672658041762,0.19407386535930746
1,Divergent,0.9182501711081659,0.30413490105954916,0.9182501711081659,0.30413490105954916
1,Divergent,0.9209653460069086,0.29560186830549673,0.9209653460069086,0.29560186830549673
1,Divergent,0.9147059575654303,0.3023705329850121,0.9147059575654303,0.3023705329850121
1,Divergent,0.8917531866781292,0.25611935225601723,0.8917531866781292,0.25611935225601723
1,Divergent,0.9041713853128421,0.32295077728668165,0.9041713853128421,0.32295077728668165
1,Divergent,0.881668389119159,0.2576460400051006,0.881668389119159,0.2576460400051006
1,Divergent,0.9169668877317991,0.4137296366061882,0.9169668877317991,0.4137296366061882
1,Divergent,0.9069883754004883,0.2596292356261615,0.9069883754004883,0.2596292356261615
1,Divergent,0.8701806097673049,-0.01800621227694794,0.8701806097673049,0.01800621227694794
1,Divergent,0.8163272515926604,-0.056109710630899624,0.8163272515926604,0.056109710630899624
1,Divergent,0.744564450650607,0.3444471330799132,0.744564450650607,0.3444471330799132
1,Divergent,0.7949394950474141,0.4028568419410329,0.7949394950474141,0.4028568419410329
1,Divergent,0.8292572990799636,0.44883813405533035,0.8292572990799636,0.44883813405533035
1,Divergent,0.7765910550659002,0.07973836875202665,0.7765910550659002,0.07973836875202665
1,Divergent,0.8796636719923278,0.3857227196456111,0.8796636719923278,0.3857227196456111
1,Divergent,0.852596003497243,0.4810490932591392,0.852596003497243,0.4810490932591392
1,Divergent,0.4573892128201942,-0.09571939967697665,0.4573892128201942,0.09571939967697665
1,Divergent,0.8883834776198697,0.3141697336380411,0.8883834776198697,0.3141697336380411
1,Divergent,0.7012544790061508,-0.10100273915015198,0.7012544790061508,0.10100273915015198
1,Divergent,0.5932909066114485,-0.1732578715184071,0.5932909066114485,0.1732578715184071
1,Divergent,0.39127012930416855,0.16447818364911054,0.39127012930416855,0.16447818364911054
1,Divergent,0.3724861933818877,0.14725882700454965,0.3724861933818877,0.14725882700454965
1,Divergent,0.4219851070119815,0.18019014978727663,0.4219851070119815,0.18019014978727663
1,Divergent,0.8455852095782604,0.20767742312892126,0.8455852095782604,0.20767742312892126
1,Divergent,0.7747565413337666,0.22933313901736205,0.7747565413337666,0.22933313901736205
1,Divergent,0.7821938847679601,0.2393198651575793,0.7821938847679601,0.2393198651575793
1,Divergent,0.7647677401519866,0.19685289158545116,0.7647677401519866,0.19685289158545116
1,Divergent,0.6310721180394215,-0.020028000788473763,0.6310721180394215,0.020028000788473763
1,Divergent,0.8104146214755618,0.3091384824294696,0.8104146214755618,0.3091384824294696
1,Divergent,0.6635628455786242,0.02264908707806917,0.6635628455786242,0.02264908707806917
1,Divergent,0.6934673664601358,0.0024551143147074593,0.6934673664601358,0.0024551143147074593
1,Divergent,0.6958905693335422,-0.04365686572212359,0.6958905693335422,0.04365686572212359
1,Divergent,0.7831999346600494,0.4655499353259394,0.7831999346600494,0.4655499353259394
1,Divergent,0.8121577162832129,0.03358229829651939,0.8121577162832129,0.03358229829651939
1,Divergent,0.8266279838473701,0.3453021205530551,0.8266279838473701,0.3453021205530551
1,Divergent,0.8078342844538129,0.03807717588211778,0.8078342844538129,0.03807717588211778
1,Divergent,0.8555381160638399,-0.06059923129610798,0.8555381160638399,0.06059923129610798
1,Divergent,0.8803122539167033,0.4207473267971664,0.8803122539167033,0.4207473267971664
1,Divergent,0.7386809844972375,0.14479820560306342,0.7386809844972375,0.14479820560306342
1,Divergent,0.7410805079327791,0.09498191070727942,0.7410805079327791,0.09498191070727942
1,Divergent,0.7527963050025279,0.1485316093600215,0.7527963050025279,0.1485316093600215
1,Divergent,0.7640096154260826,0.11091646131364308,0.7640096154260826,0.11091646131364308
1,Divergent,0.8042080338457979,0.13970995045021797,0.8042080338457979,0.13970995045021797
1,Divergent,0.7903316760852782,0.06713758812559323,0.7903316760852782,0.06713758812559323
1,Divergent,0.780932397950424,0.33821008289498133,0.780932397950424,0.33821008289498133
1,Divergent,0.7569603324473315,0.433851356972389,0.7569603324473315,0.433851356972389
1,Divergent,0.7275826310754689,0.3874509172374991,0.7275826310754689,0.3874509172374991
