component_idx,selection_frequency,mean_abs_coef
5,1.0,0.38260976995792473
20,0.96,0.35440229996268535
4,0.96,0.2554744388437368
12,0.92,0.2861038039256881
8,0.92,0.27444050323479025
3,0.92,0.2593856977788454
21,0.84,0.25170457050343603
18,0.64,0.25056773886938283
10,0.48,0.21719611084388418
15,0.48,0.19978484047474235
2,0.44,0.20132340625869719
7,0.4,0.18665654410539523
9,0.2,0.13483988462751698
14,0.2,0.11708693415701857
37,0.12,0.1443280766347076
25,0.08,0.15705042894360374
22,0.08,0.0936659560975694
28,0.04,0.1273371591421851
30,0.04,0.12515312658144737
31,0.04,0.11394080336951853
27,0.04,0.10945398981012446
29,0.04,0.10064904563757515
17,0.04,0.09637235489304999
33,0.04,0.08938497998263546
34,0.04,0.07930285835123513
38,0.04,0.06584787761440483
16,0.0,0.1348643668989128
36,0.0,0.12830523506133296
19,0.0,0.1256915217737146
13,0.0,0.10552389133626354
26,0.0,0.1025468997705768
23,0.0,0.10006709137648509
39,0.0,0.09248386774997355
6,0.0,0.08882794393409292
24,0.0,0.08042474606737356
11,0.0,0.0776422529480393
35,0.0,0.0689206249832052
0,0.0,0.06691096451070729
32,0.0,0.06588573455379756
1,0.0,0.06553307399027529
