rank,edge_idx,neuron_i_local,neuron_j_local,neuron_i_global,neuron_j_global,layer_i,layer_j,layer_pair,strength_decile,corr_mean,edge_importance,edge_importance_raw
47,13604,122,124,122,124,DepthLow,DepthLow,DepthLow--DepthLow,10,0.8581210439292639,0.00023517985645420266,0.016158212003131413
48,11491,90,107,90,107,DepthLow,DepthLow,DepthLow--DepthLow,5,0.11206022696940714,0.00023408640417756042,0.01608308552772797
49,2945,18,21,18,21,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.46549544069772225,0.00023336265662963915,0.016033359898618506
50,3853,24,26,24,26,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.5503677572113468,0.0002320302685514924,0.015941817156133107
51,14602,149,150,149,150,DepthMid,DepthMid,DepthMid--DepthMid,10,0.7370354997339478,0.0002319898151904436,0.015939037777006337
52,514,3,5,3,5,DepthLow,DepthLow,DepthLow--DepthLow,10,0.784024371060832,0.00023140277174687378,0.015898704507995704
53,11309,88,90,88,90,DepthLow,DepthLow,DepthLow--DepthLow,10,0.7430169455364714,0.00023007316227275347,0.0158073526716262
54,10548,79,121,79,121,DepthHigh,DepthMid,DepthHigh--DepthMid,4,0.09040153901445384,0.00022984411027921297,0.015791615479133745
55,8862,62,152,62,152,DepthLow,DepthLow,DepthLow--DepthLow,9,0.20098957594105038,0.0002290267377725253,0.015735457275588102
56,6776,45,72,45,72,DepthHigh,DepthMid,DepthHigh--DepthMid,10,0.22518771718177938,0.00022827754320050607,0.015683983289215296
57,7618,52,53,52,53,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.7783286642586973,0.00022728240330119798,0.01561561144092766
58,6794,45,90,45,90,DepthHigh,DepthLow,DepthHigh--DepthLow,6,0.12735101679826705,0.00022519466394854449,0.01547217171111379
59,8450,59,73,59,73,DepthMid,DepthMid,DepthMid--DepthMid,10,0.5239628499492482,0.00022167510760323197,0.015230357899157491
60,3098,19,21,19,21,DepthHigh,DepthHigh,DepthHigh--DepthHigh,10,0.4780248712029806,0.0002213138680004082,0.015205538655816002
