layer_pair,layer_a,layer_b,n_edges,importance_sum,importance_mean,corr_mean,layer_source
DepthMid--DepthLow,DepthMid,DepthLow,3306,0.2187323048447933,6.616222167114136e-05,0.12059951571328158,depth_tertile_from_neuron_pos_spi_axis0
DepthLow--DepthHigh,DepthLow,DepthHigh,3364,0.21848021950726668,6.49465575229687e-05,0.10536650093187123,depth_tertile_from_neuron_pos_spi_axis0
DepthMid--DepthHigh,DepthMid,DepthHigh,3306,0.21717788305648977,6.569203964201143e-05,0.13366155467973698,depth_tertile_from_neuron_pos_spi_axis0
DepthHigh--DepthHigh,DepthHigh,DepthHigh,1653,0.11635611558947015,7.039087452478533e-05,0.16439348179875068,depth_tertile_from_neuron_pos_spi_axis0
DepthMid--DepthMid,DepthMid,DepthMid,1596,0.11594061443906606,7.264449526257272e-05,0.18282526471657956,depth_tertile_from_neuron_pos_spi_axis0
DepthLow--DepthLow,DepthLow,DepthLow,1653,0.11331286256289953,6.854982611185695e-05,0.13802972368549943,depth_tertile_from_neuron_pos_spi_axis0
