repeat_idx,accuracy_mean
0,0.28484848484848485
1,0.3090909090909091
2,0.3212121212121212
3,0.29696969696969694
4,0.3151515151515151
5,0.3878787878787879
6,0.3636363636363636
7,0.32727272727272727
8,0.29696969696969694
9,0.3333333333333333
10,0.41818181818181815
11,0.3212121212121212
12,0.3151515151515151
13,0.3636363636363636
14,0.3575757575757576
15,0.30303030303030304
16,0.393939393939394
17,0.3090909090909091
18,0.3212121212121212
19,0.3575757575757576
20,0.393939393939394
21,0.3090909090909091
22,0.34545454545454546
23,0.34545454545454546
24,0.32727272727272727
25,0.38181818181818183
26,0.29696969696969694
27,0.3212121212121212
28,0.3090909090909091
29,0.3151515151515151
