level_type,level,observed_count,expected_count,observed_prop,expected_prop,enrichment_ratio,log2_enrichment,p_over,p_under,p_two_sided,n_important_edges,n_total_edges,p_fdr_bh
decile,D1,15,148.8200026885334,0.010080645161290322,0.10001344266702514,0.10079290235764637,-3.3105340441400313,1.0,8.680560988139997e-51,1.7361121976279995e-50,1488,14878,8.680560988139998e-50
decile,D2,40,148.8200026885334,0.026881720430107527,0.10001344266702514,0.26878107295372367,-1.8954965449506347,1.0,3.4175865492483046e-30,6.835173098496609e-30,1488,14878,2.278391032832203e-29
decile,D3,54,148.8200026885334,0.036290322580645164,0.10001344266702514,0.362854448487527,-1.4625371376884424,1.0,3.136173023371418e-22,6.272346046742836e-22,1488,14878,1.568086511685709e-21
decile,D4,86,148.8200026885334,0.05779569892473118,0.10001344266702514,0.5778793068505059,-0.7911598851646056,0.9999999996391931,6.983857408651796e-10,1.3967714817303592e-09,1488,14878,1.99538783104337e-09
decile,D5,95,148.71998924586637,0.06384408602150538,0.09994622933189945,0.6387843388153686,-0.6465991524825172,0.9999999082826998,1.587666631228989e-07,3.175333262457978e-07,1488,14878,3.9691665780724726e-07
decile,D6,124,148.8200026885334,0.08333333333333333,0.10001344266702514,0.8332213261565433,-0.2632283294874777,0.9906649486670536,0.012020385740854622,0.024040771481709244,1488,14878,0.026711968313010273
decile,D7,146,148.8200026885334,0.09811827956989247,0.10001344266702514,0.9810509162810914,-0.027600080996944443,0.6154343150354047,0.4199640848880784,0.8399281697761568,1488,14878,0.8399281697761568
decile,D8,227,148.8200026885334,0.15255376344086022,0.10001344266702514,1.525332589012382,0.6091238474087066,1.1424391676555052e-11,0.9999999999934828,2.2848783353110103e-11,1488,14878,3.8081305588516837e-11
decile,D9,244,148.8200026885334,0.1639784946236559,0.10001344266702514,1.6395645450177143,0.7133126976800191,3.7030554826729494e-16,0.9999999999999999,7.406110965345899e-16,1488,14878,1.4812221930691797e-15
decile,D10,457,148.71998924586637,0.3071236559139785,0.09994622933189945,3.07288887198551,1.6195955942267048,2.39609566238614e-126,1.0,4.79219132477228e-126,1488,14878,4.79219132477228e-125
regime,WeakTail_D1D2,55,297.6400053770668,0.03696236559139785,0.20002688533405028,0.18478698765660886,-2.436064926320762,1.0,7.123654491246348e-83,1.4247308982492696e-82,1488,14878,
regime,StrongTail_D9D10,701,297.5399919343998,0.47110215053763443,0.1999596719989246,2.3559858136685286,1.2363308521545935,7.297633754638317e-139,1.0,1.4595267509276635e-138,1488,14878,
