strength_decile,n_edges,importance_sum,importance_mean,corr_mean
1,1488,0.0785960622776186,5.281993432635659e-05,0.022046999229931922
2,1488,0.08695178768963686,5.8435341189272085e-05,0.0569122549338303
3,1488,0.09058369021458065,6.08761358968956e-05,0.07743015949288438
4,1488,0.09431169734083913,6.338151703013383e-05,0.09540168933112803
5,1487,0.09543522985179156,6.417971072749937e-05,0.11178047900981997
6,1488,0.10024520026240566,6.736908619785327e-05,0.12818420911883163
7,1488,0.10476382099969683,7.040579368259195e-05,0.14621720469683713
8,1488,0.10876636118748792,7.309567284105371e-05,0.16807645841776234
9,1488,0.11015890955244068,7.40315252368553e-05,0.19948437741364508
10,1487,0.13018724062348758,8.755026269232521e-05,0.32993418157296583
