Class_ID,Class_Name,Decile_Index,Decile_Label,Lower_Quantile,Upper_Quantile,Pair_Count,Mean_Correlation,Min_Correlation,Max_Correlation
1,Divergent,1,0-10%,0.0,0.1,13133,0.04410459464371005,-0.03585016825703408,0.06976890979280431
1,Divergent,2,10-20%,0.1,0.2,13133,0.08555260018788938,0.06976916820823892,0.09958215359810237
1,Divergent,3,20-30%,0.2,0.3,13133,0.11138239590959009,0.09958303098022064,0.12278684337751027
1,Divergent,4,30-40%,0.3,0.4,13133,0.1335707733154253,0.12278862310444515,0.1439152185906005
1,Divergent,5,40-50%,0.4,0.5,13133,0.15402901858893842,0.14391730217320478,0.16405632050397093
1,Divergent,6,50-60%,0.5,0.6,13133,0.17449165339246744,0.16405828421185625,0.1849863388484308
1,Divergent,7,60-70%,0.6,0.7,13133,0.19630968426544526,0.1849877514389459,0.20792507464225285
1,Divergent,8,70-80%,0.7,0.8,13133,0.22077326703899308,0.20792538416924364,0.23469247617349437
1,Divergent,9,80-90%,0.8,0.9,13132,0.2521882203528416,0.23469759242390842,0.272853852537767
1,Divergent,10,90-100%,0.9,1.0,13132,0.3429309062491119,0.2728652098932569,0.9801506179631335
2,Convergent,1,0-10%,0.0,0.1,13133,0.05351691911071059,-0.03131507146484935,0.08260700217820181
2,Convergent,2,10-20%,0.1,0.2,13133,0.099274953273273,0.08260798558557406,0.11409432612975205
2,Convergent,3,20-30%,0.2,0.3,13133,0.12672305386913654,0.11409553038033833,0.13864081705569517
2,Convergent,4,30-40%,0.3,0.4,13133,0.149686523106368,0.13864201288347502,0.1603852674980305
2,Convergent,5,40-50%,0.4,0.5,13133,0.17072506649137717,0.16038557577960735,0.18097961159211137
2,Convergent,6,50-60%,0.5,0.6,13133,0.19161218381629305,0.18098073523213595,0.2023727632633646
2,Convergent,7,60-70%,0.6,0.7,13133,0.21341670138010344,0.20237294962635935,0.2249661947720519
2,Convergent,8,70-80%,0.7,0.8,13133,0.23788196572450962,0.22497062254256803,0.25190790197052976
2,Convergent,9,80-90%,0.8,0.9,13132,0.26980895171222347,0.25190873156670307,0.29135269769724864
2,Convergent,10,90-100%,0.9,1.0,13132,0.36051678666321335,0.2913549990342029,0.982712985352854
3,Random,1,0-10%,0.0,0.1,13133,0.01294302360801249,-0.07668927385423163,0.03567003937437727
3,Random,2,10-20%,0.1,0.2,13133,0.05040694916834329,0.03567128066715002,0.06414382320157729
3,Random,3,20-30%,0.2,0.3,13133,0.0767717881780774,0.06414452153076923,0.0890953918288217
3,Random,4,30-40%,0.3,0.4,13133,0.10123530602305593,0.08909584162713846,0.11339117082599773
3,Random,5,40-50%,0.4,0.5,13133,0.12567548740956047,0.11339138746613986,0.13796557383403074
3,Random,6,50-60%,0.5,0.6,13133,0.15092096216560721,0.1379667443358392,0.16397792512599374
3,Random,7,60-70%,0.6,0.7,13133,0.17783439328794265,0.16398376534875014,0.19233700505274218
3,Random,8,70-80%,0.7,0.8,13133,0.20936152696882002,0.19234274858178776,0.22748468028268953
3,Random,9,80-90%,0.8,0.9,13132,0.2502884484758723,0.22749112536979266,0.27728104573706486
3,Random,10,90-100%,0.9,1.0,13132,0.35214355961689076,0.2772877275429637,0.9812916739895329
