ablation_type,drop_fraction,n_edges_dropped,repeat_idx,base_accuracy_mean,base_accuracy_std,accuracy_mean,accuracy_std,delta_vs_base
top,0.01,1314,-1,0.9333333333333332,0.04364357804719849,0.8952380952380953,0.05947617141331804,0.03809523809523796
random,0.01,1314,0,0.9333333333333332,0.04364357804719849,0.9333333333333332,0.016495721976846456,0.0
random,0.01,1314,1,0.9333333333333332,0.04364357804719849,0.9333333333333332,0.059476171413318096,0.0
random,0.01,1314,2,0.9333333333333332,0.04364357804719849,0.8857142857142857,0.02857142857142858,0.04761904761904756
random,0.01,1314,3,0.9333333333333332,0.04364357804719849,0.9333333333333332,0.059476171413318096,0.0
random,0.01,1314,4,0.9333333333333332,0.04364357804719849,0.942857142857143,0.04948716593053937,-0.009523809523809712
random,0.01,1314,5,0.9333333333333332,0.04364357804719849,0.8952380952380953,0.07190318509781664,0.03809523809523796
random,0.01,1314,6,0.9333333333333332,0.04364357804719849,0.9047619047619048,0.03299144395369291,0.02857142857142847
random,0.01,1314,7,0.9333333333333332,0.04364357804719849,0.8952380952380953,0.10033955955097845,0.03809523809523796
top,0.03,3940,-1,0.9333333333333332,0.04364357804719849,0.8857142857142857,0.049487165930539305,0.04761904761904756
random,0.03,3940,0,0.9333333333333332,0.04364357804719849,0.942857142857143,0.02857142857142858,-0.009523809523809712
random,0.03,3940,1,0.9333333333333332,0.04364357804719849,0.9333333333333332,0.059476171413318096,0.0
random,0.03,3940,2,0.9333333333333332,0.04364357804719849,0.8952380952380952,0.04364357804719849,0.03809523809523807
random,0.03,3940,3,0.9333333333333332,0.04364357804719849,0.9333333333333332,0.059476171413318096,0.0
random,0.03,3940,4,0.9333333333333332,0.04364357804719849,0.9523809523809524,0.03299144395369291,-0.019047619047619202
random,0.03,3940,5,0.9333333333333332,0.04364357804719849,0.9047619047619048,0.059476171413318096,0.02857142857142847
random,0.03,3940,6,0.9333333333333332,0.04364357804719849,0.9238095238095237,0.03299144395369291,0.00952380952380949
random,0.03,3940,7,0.9333333333333332,0.04364357804719849,0.9047619047619048,0.10033955955097844,0.02857142857142847
top,0.05,6567,-1,0.9333333333333332,0.04364357804719849,0.8666666666666666,0.05947617141331804,0.06666666666666665
random,0.05,6567,0,0.9333333333333332,0.04364357804719849,0.9142857142857143,0.0,0.01904761904761898
random,0.05,6567,1,0.9333333333333332,0.04364357804719849,0.9333333333333332,0.059476171413318096,0.0
random,0.05,6567,2,0.9333333333333332,0.04364357804719849,0.9047619047619048,0.04364357804719849,0.02857142857142847
random,0.05,6567,3,0.9333333333333332,0.04364357804719849,0.9333333333333332,0.059476171413318096,0.0
random,0.05,6567,4,0.9333333333333332,0.04364357804719849,0.9523809523809524,0.03299144395369291,-0.019047619047619202
random,0.05,6567,5,0.9333333333333332,0.04364357804719849,0.9238095238095237,0.04364357804719849,0.00952380952380949
random,0.05,6567,6,0.9333333333333332,0.04364357804719849,0.9333333333333332,0.04364357804719849,0.0
random,0.05,6567,7,0.9333333333333332,0.04364357804719849,0.8952380952380953,0.09184429296183766,0.03809523809523796
