level_type,overlap_category,n_neurons,n_important_neurons,important_fraction,mean_selectivity_index,sem_selectivity_index,mean_decoder_importance,sem_decoder_importance,mean_ablation_effect_proxy,sem_ablation_effect_proxy,n_actual_ablation_eval,mean_ablation_drop_actual,sem_ablation_drop_actual
coarse,Condition_Biased,360,67,0.1861111111111106,0.43300491306519,0.01131287380324014,0.001935506595907676,1.1009690328229455e-05,0.001935506595907676,1.1009690328229455e-05,30,-0.0006349206349206326,0.0009056209252302731
coarse,Shared_Core,153,36,0.2352941176470573,0.26465407481499315,0.01019460990735039,0.0019818145455734425,1.6795296921756392e-05,0.0019818145455734425,1.6795296921756392e-05,30,0.000952380952380949,0.0010561922184155218
detail,Biased_Convergent,189,36,0.19047619047618947,0.46804830936533126,0.016326301062518228,0.0019472934906083958,1.5926896840007796e-05,0.0019472934906083958,1.5926896840007796e-05,21,-0.0018140589569160934,0.0008362398600719143
detail,Biased_Divergent,82,12,0.14634146341463236,0.3886957722231503,0.021810134253625314,0.0019002011059885263,1.9796358699421675e-05,0.0019002011059885263,1.9796358699421675e-05,4,0.0023809523809523725,0.0045591767036015935
detail,Biased_Random,89,19,0.21348314606741334,0.3994110664171061,0.02088528891998656,0.0019430046529294084,2.236038808479848e-05,0.0019430046529294084,2.236038808479848e-05,5,0.001904761904761898,0.0019047619047618976
detail,Shared_Core,153,36,0.2352941176470573,0.26465407481499315,0.01019460990735039,0.0019818145455734425,1.6795296921756392e-05,0.0019818145455734425,1.6795296921756392e-05,30,0.000952380952380949,0.0010561922184155218
