component_idx,selection_frequency,mean_abs_coef
1,1.0,0.05211853624195315
4,1.0,0.04749695382224803
5,1.0,0.034694587277542654
18,1.0,0.03294987063017235
6,1.0,0.030987392483250716
9,0.96,0.03409838567449096
2,0.88,0.028853177323447218
12,0.76,0.025990321350499227
24,0.64,0.02572839865255015
3,0.36,0.02298921246083517
32,0.36,0.02097876651333722
16,0.28,0.017742012799176823
13,0.16,0.019687828736803293
10,0.12,0.01870390368139829
35,0.12,0.016086328245384342
30,0.08,0.016622706721155595
27,0.08,0.013637457616814667
17,0.04,0.015724611766243693
14,0.04,0.015495824749696298
8,0.04,0.015454437391102749
31,0.04,0.01435446992056282
37,0.04,0.009554421216971204
33,0.0,0.01337270210481881
28,0.0,0.012729176092532624
11,0.0,0.012105607565954019
23,0.0,0.011992592887152313
39,0.0,0.011410473287110773
0,0.0,0.011404838616858808
21,0.0,0.010657258772251623
7,0.0,0.010556916171847019
29,0.0,0.009872954053444733
25,0.0,0.00978925770451182
15,0.0,0.009357883921283039
19,0.0,0.009025442330557312
22,0.0,0.008715650823391157
38,0.0,0.008584265884345039
20,0.0,0.008416571795221374
26,0.0,0.007961420500660166
36,0.0,0.007065790788955541
34,0.0,0.006957628179479485
