level_type,level,observed_count,expected_count,observed_prop,expected_prop,enrichment_ratio,log2_enrichment,p_over,p_under,p_two_sided,n_important_edges,n_total_edges,p_fdr_bh
decile,D1,417,1313.3200003045808,0.03175207492575954,0.10000152290448343,0.3175159137903335,-1.655099193756984,1.0,3.137257090478104e-214,6.274514180956208e-214,13133,131328,3.137257090478104e-213
decile,D2,518,1313.3200003045808,0.03944262544734638,0.10000152290448343,0.39442024782588186,-1.3421944795239533,1.0,2.0137140070204168e-162,4.0274280140408335e-162,13133,131328,1.3424760046802778e-161
decile,D3,660,1313.3200003045808,0.05025508261631006,0.10000152290448343,0.5025431729055638,-0.9926805529725609,1.0,4.899201947781537e-105,9.798403895563075e-105,13133,131328,1.959680779112615e-104
decile,D4,770,1313.3200003045808,0.058630929719028405,0.10000152290448343,0.5863003683898245,-0.770288131640214,1.0,6.513860615243944e-71,1.3027721230487889e-70,13133,131328,2.1712868717479816e-70
decile,D5,997,1313.2199987816764,0.07591563237645625,0.09999390838206627,0.7592025714769679,-0.39744321598301013,1.0,6.1285406989283435e-24,1.2257081397856687e-23,13133,131328,1.5321351747320858e-23
decile,D6,1123,1313.3200003045808,0.08550978451229727,0.10000152290448343,0.8550848229893153,-0.22586055482961118,0.9999999987919664,1.4685519792828859e-09,2.9371039585657718e-09,13133,131328,3.2634488428508574e-09
decile,D7,1323,1313.3200003045808,0.10073859742633062,0.10000152290448343,1.0073706329606984,0.010594579045913903,0.38802662312962527,0.6236443284517097,0.7760532462592505,13133,131328,0.7760532462592505
decile,D8,1671,1313.3200003045808,0.12723673189674864,0.10000152290448343,1.2723479423109045,0.3474932508254426,1.432547710002982e-26,1.0,2.865095420005964e-26,13133,131328,4.092993457151377e-26
decile,D9,2082,1313.3200003045808,0.1585319424350872,0.10000152290448343,1.585295281802097,0.6647515860614335,1.453791336614466e-108,1.0,2.907582673228932e-108,13133,131328,7.26895668307233e-108
decile,D10,3572,1313.2199987816764,0.27198659864463565,0.09999390838206627,2.7200316803567994,1.4436234547263167,0.0,1.0,0.0,13133,131328,0.0
regime,WeakTail_D1D2,935,2626.6400006091617,0.07119470037310592,0.20000304580896686,0.3559680808098875,-1.4901802124446075,1.0,0.0,0.0,13133,131328,
regime,StrongTail_D9D10,5654,2626.5399990862575,0.4305185410797228,0.1999954312865497,2.1526418794073914,1.1061083279724346,0.0,1.0,0.0,13133,131328,
